season,date,team,points,division,conference
2017-18,2017-10-06,Anaheim Ducks,2,Pacific,Western
2017-18,2017-10-08,Anaheim Ducks,1,Pacific,Western
2017-18,2017-10-10,Anaheim Ducks,0,Pacific,Western
2017-18,2017-10-12,Anaheim Ducks,2,Pacific,Western
2017-18,2017-10-14,Anaheim Ducks,0,Pacific,Western
2017-18,2017-10-16,Anaheim Ducks,0,Pacific,Western
2017-18,2017-10-21,Anaheim Ducks,2,Pacific,Western
2017-18,2017-10-24,Anaheim Ducks,2,Pacific,Western
2017-18,2017-10-26,Anaheim Ducks,0,Pacific,Western
2017-18,2017-10-28,Anaheim Ducks,2,Pacific,Western
2017-18,2017-10-29,Anaheim Ducks,2,Pacific,Western
2017-18,2017-11-02,Anaheim Ducks,0,Pacific,Western
2017-18,2017-11-04,Anaheim Ducks,0,Pacific,Western
2017-18,2017-11-05,Anaheim Ducks,1,Pacific,Western
2017-18,2017-11-08,Anaheim Ducks,1,Pacific,Western
2017-18,2017-11-10,Anaheim Ducks,2,Pacific,Western
2017-18,2017-11-13,Anaheim Ducks,0,Pacific,Western
2017-18,2017-11-16,Anaheim Ducks,2,Pacific,Western
2017-18,2017-11-20,Anaheim Ducks,2,Pacific,Western
2017-18,2017-11-21,Anaheim Ducks,2,Pacific,Western
2017-18,2017-11-23,Anaheim Ducks,0,Pacific,Western
2017-18,2017-11-24,Anaheim Ducks,0,Pacific,Western
2017-18,2017-11-26,Anaheim Ducks,1,Pacific,Western
2017-18,2017-11-28,Anaheim Ducks,0,Pacific,Western
2017-18,2017-11-30,Anaheim Ducks,2,Pacific,Western
2017-18,2017-12-02,Anaheim Ducks,0,Pacific,Western
2017-18,2017-12-03,Anaheim Ducks,1,Pacific,Western
2017-18,2017-12-06,Anaheim Ducks,1,Pacific,Western
2017-18,2017-12-07,Anaheim Ducks,2,Pacific,Western
2017-18,2017-12-09,Anaheim Ducks,1,Pacific,Western
2017-18,2017-12-12,Anaheim Ducks,2,Pacific,Western
2017-18,2017-12-15,Anaheim Ducks,2,Pacific,Western
2017-18,2017-12-17,Anaheim Ducks,1,Pacific,Western
2017-18,2017-12-19,Anaheim Ducks,0,Pacific,Western
2017-18,2017-12-20,Anaheim Ducks,0,Pacific,Western
2017-18,2017-12-22,Anaheim Ducks,2,Pacific,Western
2017-18,2017-12-24,Anaheim Ducks,2,Pacific,Western
2017-18,2017-12-28,Anaheim Ducks,0,Pacific,Western
2017-18,2017-12-30,Anaheim Ducks,2,Pacific,Western
2017-18,2017-12-31,Anaheim Ducks,2,Pacific,Western
2017-18,2018-01-03,Anaheim Ducks,2,Pacific,Western
2017-18,2018-01-05,Anaheim Ducks,1,Pacific,Western
2017-18,2018-01-07,Anaheim Ducks,0,Pacific,Western
2017-18,2018-01-14,Anaheim Ducks,2,Pacific,Western
2017-18,2018-01-15,Anaheim Ducks,0,Pacific,Western
2017-18,2018-01-18,Anaheim Ducks,2,Pacific,Western
2017-18,2018-01-20,Anaheim Ducks,2,Pacific,Western
2017-18,2018-01-22,Anaheim Ducks,0,Pacific,Western
2017-18,2018-01-24,Anaheim Ducks,2,Pacific,Western
2017-18,2018-01-26,Anaheim Ducks,2,Pacific,Western
2017-18,2018-01-31,Anaheim Ducks,2,Pacific,Western
2017-18,2018-02-02,Anaheim Ducks,1,Pacific,Western
2017-18,2018-02-03,Anaheim Ducks,0,Pacific,Western
2017-18,2018-02-06,Anaheim Ducks,0,Pacific,Western
2017-18,2018-02-07,Anaheim Ducks,2,Pacific,Western
2017-18,2018-02-10,Anaheim Ducks,2,Pacific,Western
2017-18,2018-02-12,Anaheim Ducks,1,Pacific,Western
2017-18,2018-02-14,Anaheim Ducks,0,Pacific,Western
2017-18,2018-02-16,Anaheim Ducks,2,Pacific,Western
2017-18,2018-02-17,Anaheim Ducks,2,Pacific,Western
2017-18,2018-02-20,Anaheim Ducks,2,Pacific,Western
2017-18,2018-02-22,Anaheim Ducks,2,Pacific,Western
2017-18,2018-02-25,Anaheim Ducks,0,Pacific,Western
2017-18,2018-02-26,Anaheim Ducks,1,Pacific,Western
2017-18,2018-03-03,Anaheim Ducks,2,Pacific,Western
2017-18,2018-03-04,Anaheim Ducks,2,Pacific,Western
2017-18,2018-03-07,Anaheim Ducks,2,Pacific,Western
2017-18,2018-03-09,Anaheim Ducks,0,Pacific,Western
2017-18,2018-03-10,Anaheim Ducks,0,Pacific,Western
2017-18,2018-03-13,Anaheim Ducks,0,Pacific,Western
2017-18,2018-03-15,Anaheim Ducks,2,Pacific,Western
2017-18,2018-03-17,Anaheim Ducks,2,Pacific,Western
2017-18,2018-03-19,Anaheim Ducks,2,Pacific,Western
2017-18,2018-03-22,Anaheim Ducks,2,Pacific,Western
2017-18,2018-03-24,Anaheim Ducks,1,Pacific,Western
2017-18,2018-03-26,Anaheim Ducks,2,Pacific,Western
2017-18,2018-03-28,Anaheim Ducks,0,Pacific,Western
2017-18,2018-03-31,Anaheim Ducks,2,Pacific,Western
2017-18,2018-04-02,Anaheim Ducks,2,Pacific,Western
2017-18,2018-04-05,Anaheim Ducks,2,Pacific,Western
2017-18,2018-04-07,Anaheim Ducks,2,Pacific,Western
2017-18,2018-04-08,Anaheim Ducks,2,Pacific,Western
2017-18,2017-10-06,Arizona Coyotes,0,Pacific,Western
2017-18,2017-10-08,Arizona Coyotes,1,Pacific,Western
2017-18,2017-10-11,Arizona Coyotes,0,Pacific,Western
2017-18,2017-10-13,Arizona Coyotes,0,Pacific,Western
2017-18,2017-10-15,Arizona Coyotes,0,Pacific,Western
2017-18,2017-10-18,Arizona Coyotes,0,Pacific,Western
