season,date,team,points,division,conference
2014-15,2014-10-09,Anaheim Ducks,0,Pacific,Western
2014-15,2014-10-11,Anaheim Ducks,2,Pacific,Western
2014-15,2014-10-13,Anaheim Ducks,2,Pacific,Western
2014-15,2014-10-14,Anaheim Ducks,2,Pacific,Western
2014-15,2014-10-18,Anaheim Ducks,2,Pacific,Western
2014-15,2014-10-20,Anaheim Ducks,2,Pacific,Western
2014-15,2014-10-23,Anaheim Ducks,2,Pacific,Western
2014-15,2014-10-25,Anaheim Ducks,2,Pacific,Western
2014-15,2014-10-27,Anaheim Ducks,0,Pacific,Western
2014-15,2014-10-29,Anaheim Ducks,2,Pacific,Western
2014-15,2014-10-31,Anaheim Ducks,0,Pacific,Western
2014-15,2014-11-01,Anaheim Ducks,2,Pacific,Western
2014-15,2014-11-03,Anaheim Ducks,2,Pacific,Western
2014-15,2014-11-06,Anaheim Ducks,1,Pacific,Western
2014-15,2014-11-08,Anaheim Ducks,1,Pacific,Western
2014-15,2014-11-10,Anaheim Ducks,1,Pacific,Western
2014-15,2014-11-13,Anaheim Ducks,2,Pacific,Western
2014-15,2014-11-15,Anaheim Ducks,1,Pacific,Western
2014-15,2014-11-17,Anaheim Ducks,0,Pacific,Western
2014-15,2014-11-19,Anaheim Ducks,1,Pacific,Western
2014-15,2014-11-21,Anaheim Ducks,2,Pacific,Western
2014-15,2014-11-24,Anaheim Ducks,2,Pacific,Western
2014-15,2014-11-26,Anaheim Ducks,2,Pacific,Western
2014-15,2014-11-28,Anaheim Ducks,0,Pacific,Western
2014-15,2014-11-30,Anaheim Ducks,0,Pacific,Western
2014-15,2014-12-02,Anaheim Ducks,2,Pacific,Western
2014-15,2014-12-04,Anaheim Ducks,2,Pacific,Western
2014-15,2014-12-06,Anaheim Ducks,2,Pacific,Western
2014-15,2014-12-07,Anaheim Ducks,2,Pacific,Western
2014-15,2014-12-11,Anaheim Ducks,2,Pacific,Western
2014-15,2014-12-13,Anaheim Ducks,2,Pacific,Western
2014-15,2014-12-14,Anaheim Ducks,2,Pacific,Western
2014-15,2014-12-17,Anaheim Ducks,0,Pacific,Western
2014-15,2014-12-19,Anaheim Ducks,2,Pacific,Western
2014-15,2014-12-20,Anaheim Ducks,0,Pacific,Western
2014-15,2014-12-23,Anaheim Ducks,2,Pacific,Western
2014-15,2014-12-28,Anaheim Ducks,1,Pacific,Western
2014-15,2014-12-29,Anaheim Ducks,2,Pacific,Western
2014-15,2015-01-01,Anaheim Ducks,0,Pacific,Western
2014-15,2015-01-03,Anaheim Ducks,2,Pacific,Western
2014-15,2015-01-05,Anaheim Ducks,2,Pacific,Western
2014-15,2015-01-08,Anaheim Ducks,0,Pacific,Western
2014-15,2015-01-12,Anaheim Ducks,2,Pacific,Western
2014-15,2015-01-15,Anaheim Ducks,2,Pacific,Western
2014-15,2015-01-17,Anaheim Ducks,2,Pacific,Western
2014-15,2015-01-18,Anaheim Ducks,2,Pacific,Western
2014-15,2015-01-22,Anaheim Ducks,2,Pacific,Western
2014-15,2015-01-28,Anaheim Ducks,2,Pacific,Western
2014-15,2015-01-30,Anaheim Ducks,0,Pacific,Western
2014-15,2015-01-31,Anaheim Ducks,0,Pacific,Western
2014-15,2015-02-04,Anaheim Ducks,2,Pacific,Western
2014-15,2015-02-06,Anaheim Ducks,2,Pacific,Western
2014-15,2015-02-07,Anaheim Ducks,1,Pacific,Western
2014-15,2015-02-08,Anaheim Ducks,0,Pacific,Western
2014-15,2015-02-11,Anaheim Ducks,0,Pacific,Western
2014-15,2015-02-13,Anaheim Ducks,2,Pacific,Western
2014-15,2015-02-16,Anaheim Ducks,0,Pacific,Western
2014-15,2015-02-19,Anaheim Ducks,0,Pacific,Western
2014-15,2015-02-21,Anaheim Ducks,2,Pacific,Western
2014-15,2015-02-22,Anaheim Ducks,2,Pacific,Western
2014-15,2015-02-24,Anaheim Ducks,2,Pacific,Western
2014-15,2015-02-26,Anaheim Ducks,0,Pacific,Western
2014-15,2015-02-28,Anaheim Ducks,2,Pacific,Western
2014-15,2015-03-02,Anaheim Ducks,2,Pacific,Western
2014-15,2015-03-04,Anaheim Ducks,2,Pacific,Western
2014-15,2015-03-05,Anaheim Ducks,2,Pacific,Western
2014-15,2015-03-07,Anaheim Ducks,0,Pacific,Western
2014-15,2015-03-10,Anaheim Ducks,0,Pacific,Western
2014-15,2015-03-12,Anaheim Ducks,0,Pacific,Western
2014-15,2015-03-14,Anaheim Ducks,2,Pacific,Western
2014-15,2015-03-16,Anaheim Ducks,2,Pacific,Western
2014-15,2015-03-19,Anaheim Ducks,2,Pacific,Western
2014-15,2015-03-21,Anaheim Ducks,2,Pacific,Western
2014-15,2015-03-22,Anaheim Ducks,0,Pacific,Western
2014-15,2015-03-24,Anaheim Ducks,0,Pacific,Western
2014-15,2015-03-26,Anaheim Ducks,2,Pacific,Western
2014-15,2015-03-28,Anaheim Ducks,2,Pacific,Western
2014-15,2015-03-29,Anaheim Ducks,2,Pacific,Western
2014-15,2015-04-02,Anaheim Ducks,2,Pacific,Western
2014-15,2015-04-04,Anaheim Ducks,0,Pacific,Western
2014-15,2015-04-09,Anaheim Ducks,0,Pacific,Western
2014-15,2015-04-12,Anaheim Ducks,2,Pacific,Western
2014-15,2014-10-10,Arizona Coyotes,0,Pacific,Western
2014-15,2014-10-12,Arizona Coyotes,2,Pacific,Western
2014-15,2014-10-16,Arizona Coyotes,2,Pacific,Western
2014-15,2014-10-19,Arizona Coyotes,0,Pacific,Western
2014-15,2014-10-22,Arizona Coyotes,1,Pacific,Western
2014-15,2014-10-24,Arizona Coyotes,0,Pacific,Western
2014-15,2014-10-26,Arizona Coyotes,2,Pacific,Western
2014-15,2014-10-28,Arizona Coyotes,0,Pacific,Western
2014-15,2014-10-30,Arizona Coyotes,0,Pacific,Western
2014-15,2014-11-01,Arizona Coyotes,0,Pacific,Western
2014-15,2014-11-03,Arizona Coyotes,2,Pacific,Western
2014-15,2014-11-05,Arizona Coyotes,2,Pacific,Western
2014-15,2014-11-08,Arizona Coyotes,2,Pacific,Western
2014-15,2014-11-09,Arizona Coyotes,0,Pacific,Western
2014-15,2014-11-12,Arizona Coyotes,0,Pacific,Western
2014-15,2014-11-14,Arizona Coyotes,0,Pacific,Western
2014-15,2014-11-15,Arizona Coyotes,2,Pacific,Western
2014-15,2014-11-17,Arizona Coyotes,2,Pacific,Western
2014-15,2014-11-19,Arizona Coyotes,1,Pacific,Western
2014-15,2014-11-21,Arizona Coyotes,0,Pacific,Western
2014-15,2014-11-23,Arizona Coyotes,2,Pacific,Western
2014-15,2014-11-24,Arizona Coyotes,0,Pacific,Western
2014-15,2014-11-26,Arizona Coyotes,1,Pacific,Western
2014-15,2014-11-30,Arizona Coyotes,0,Pacific,Western
2014-15,2014-12-02,Arizona Coyotes,2,Pacific,Western
2014-15,2014-12-03,Arizona Coyotes,0,Pacific,Western
2014-15,2014-12-05,Arizona Coyotes,0,Pacific,Western
2014-15,2014-12-07,Arizona Coyotes,0,Pacific,Western
2014-15,2014-12-12,Arizona Coyotes,0,Pacific,Western
2014-15,2014-12-14,Arizona Coyotes,1,Pacific,Western
2014-15,2014-12-17,Arizona Coyotes,2,Pacific,Western
2014-15,2014-12-20,Arizona Coyotes,0,Pacific,Western
