season,date,team,points,division,conference
2012-13,2013-01-20,Anaheim Ducks,2,Pacific,Western
2012-13,2013-01-22,Anaheim Ducks,2,Pacific,Western
2012-13,2013-01-26,Anaheim Ducks,0,Pacific,Western
2012-13,2013-01-27,Anaheim Ducks,2,Pacific,Western
2012-13,2013-01-30,Anaheim Ducks,1,Pacific,Western
2012-13,2013-02-02,Anaheim Ducks,2,Pacific,Western
2012-13,2013-02-03,Anaheim Ducks,2,Pacific,Western
2012-13,2013-02-05,Anaheim Ducks,2,Pacific,Western
2012-13,2013-02-07,Anaheim Ducks,2,Pacific,Western
2012-13,2013-02-09,Anaheim Ducks,0,Pacific,Western
2012-13,2013-02-10,Anaheim Ducks,2,Pacific,Western
2012-13,2013-02-13,Anaheim Ducks,2,Pacific,Western
2012-13,2013-02-16,Anaheim Ducks,2,Pacific,Western
2012-13,2013-02-17,Anaheim Ducks,2,Pacific,Western
2012-13,2013-02-19,Anaheim Ducks,2,Pacific,Western
2012-13,2013-02-25,Anaheim Ducks,2,Pacific,Western
2012-13,2013-02-26,Anaheim Ducks,0,Pacific,Western
2012-13,2013-02-28,Anaheim Ducks,2,Pacific,Western
2012-13,2013-03-02,Anaheim Ducks,2,Pacific,Western
2012-13,2013-03-03,Anaheim Ducks,1,Pacific,Western
2012-13,2013-03-05,Anaheim Ducks,1,Pacific,Western
2012-13,2013-03-07,Anaheim Ducks,2,Pacific,Western
2012-13,2013-03-09,Anaheim Ducks,2,Pacific,Western
2012-13,2013-03-11,Anaheim Ducks,2,Pacific,Western
2012-13,2013-03-13,Anaheim Ducks,2,Pacific,Western
2012-13,2013-03-15,Anaheim Ducks,2,Pacific,Western
2012-13,2013-03-17,Anaheim Ducks,1,Pacific,Western
2012-13,2013-03-19,Anaheim Ducks,2,Pacific,Western
2012-13,2013-03-21,Anaheim Ducks,2,Pacific,Western
2012-13,2013-03-23,Anaheim Ducks,0,Pacific,Western
2012-13,2013-03-25,Anaheim Ducks,0,Pacific,Western
2012-13,2013-03-26,Anaheim Ducks,0,Pacific,Western
2012-13,2013-03-28,Anaheim Ducks,0,Pacific,Western
2012-13,2013-03-30,Anaheim Ducks,2,Pacific,Western
2012-13,2013-03-31,Anaheim Ducks,1,Pacific,Western
2012-13,2013-04-02,Anaheim Ducks,2,Pacific,Western
2012-13,2013-04-04,Anaheim Ducks,2,Pacific,Western
2012-13,2013-04-06,Anaheim Ducks,0,Pacific,Western
2012-13,2013-04-08,Anaheim Ducks,2,Pacific,Western
2012-13,2013-04-09,Anaheim Ducks,2,Pacific,Western
2012-13,2013-04-11,Anaheim Ducks,0,Pacific,Western
2012-13,2013-04-14,Anaheim Ducks,0,Pacific,Western
2012-13,2013-04-18,Anaheim Ducks,1,Pacific,Western
2012-13,2013-04-20,Anaheim Ducks,0,Pacific,Western
2012-13,2013-04-22,Anaheim Ducks,2,Pacific,Western
2012-13,2013-04-23,Anaheim Ducks,2,Pacific,Western
2012-13,2013-04-26,Anaheim Ducks,2,Pacific,Western
2012-13,2013-04-28,Anaheim Ducks,0,Pacific,Western
2012-13,2013-01-20,Boston Bruins,2,Northeast,Eastern
2012-13,2013-01-21,Boston Bruins,2,Northeast,Eastern
2012-13,2013-01-24,Boston Bruins,1,Northeast,Eastern
2012-13,2013-01-26,Boston Bruins,2,Northeast,Eastern
2012-13,2013-01-29,Boston Bruins,2,Northeast,Eastern
2012-13,2013-01-30,Boston Bruins,2,Northeast,Eastern
2012-13,2013-02-01,Boston Bruins,0,Northeast,Eastern
2012-13,2013-02-03,Boston Bruins,2,Northeast,Eastern
2012-13,2013-02-07,Boston Bruins,2,Northeast,Eastern
2012-13,2013-02-11,Boston Bruins,2,Northeast,Eastern
2012-13,2013-02-13,Boston Bruins,1,Northeast,Eastern
2012-13,2013-02-16,Boston Bruins,0,Northeast,Eastern
2012-13,2013-02-17,Boston Bruins,2,Northeast,Eastern
2012-13,2013-02-22,Boston Bruins,2,Northeast,Eastern
2012-13,2013-02-24,Boston Bruins,2,Northeast,Eastern
2012-13,2013-02-27,Boston Bruins,2,Northeast,Eastern
