season,date,team,points,division,conference
2020-21,2021-04-27,Arizona Coyotes,0,Honda West,Western
2020-21,2021-04-29,Arizona Coyotes,0,Honda West,Western
2020-21,2021-05-01,Arizona Coyotes,2,Honda West,Western
2020-21,2021-05-02,Arizona Coyotes,1,Honda West,Western
2020-21,2021-05-04,Arizona Coyotes,0,Honda West,Western
2020-21,2021-05-06,Arizona Coyotes,0,Honda West,Western
2020-21,2021-05-08,Arizona Coyotes,2,Honda West,Western
2020-21,2021-05-09,Arizona Coyotes,2,Honda West,Western
2020-21,2021-01-15,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-01-16,Boston Bruins,1,MassMutual East,Eastern
2020-21,2021-01-18,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-01-22,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-01-24,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-01-27,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-01-29,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-01-31,Boston Bruins,1,MassMutual East,Eastern
2020-21,2021-02-02,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-02-04,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-02-06,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-02-11,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-02-13,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-02-14,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-02-19,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-02-22,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-02-26,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-02-27,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-02-28,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-03-04,Boston Bruins,1,MassMutual East,Eastern
2020-21,2021-03-06,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-03-07,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-03-10,Boston Bruins,1,MassMutual East,Eastern
2020-21,2021-03-12,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-03-13,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-03-15,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-03-16,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-03-18,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-03-25,Boston Bruins,1,MassMutual East,Eastern
2020-21,2021-03-27,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-03-28,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-03-30,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-04-01,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-04-03,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-04-05,Boston Bruins,1,MassMutual East,Eastern
2020-21,2021-04-06,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-04-08,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-04-10,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-04-11,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-04-13,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-04-15,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-04-16,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-04-18,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-04-20,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-04-22,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-04-23,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-04-25,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-04-27,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-04-29,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-05-01,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-05-03,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-05-04,Boston Bruins,1,MassMutual East,Eastern
2020-21,2021-05-06,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-05-08,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-05-10,Boston Bruins,2,MassMutual East,Eastern
2020-21,2021-05-11,Boston Bruins,0,MassMutual East,Eastern
2020-21,2021-01-15,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-01-16,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-01-19,Buffalo Sabres,2,MassMutual East,Eastern
2020-21,2021-01-20,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-01-23,Buffalo Sabres,1,MassMutual East,Eastern
2020-21,2021-01-24,Buffalo Sabres,2,MassMutual East,Eastern
2020-21,2021-01-27,Buffalo Sabres,2,MassMutual East,Eastern
2020-21,2021-01-29,Buffalo Sabres,1,MassMutual East,Eastern
2020-21,2021-01-30,Buffalo Sabres,2,MassMutual East,Eastern
2020-21,2021-01-31,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-02-16,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-02-17,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-02-19,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-02-20,Buffalo Sabres,2,MassMutual East,Eastern
2020-21,2021-02-23,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-02-24,Buffalo Sabres,2,MassMutual East,Eastern
2020-21,2021-02-26,Buffalo Sabres,1,MassMutual East,Eastern
2020-21,2021-02-27,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-02-28,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-03-03,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-03-05,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-03-06,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-03-07,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-03-10,Buffalo Sabres,1,MassMutual East,Eastern
2020-21,2021-03-12,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-03-14,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-03-15,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-03-16,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-03-18,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-03-22,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-03-25,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-03-25,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-03-27,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-03-29,Buffalo Sabres,1,MassMutual East,Eastern
2020-21,2021-03-31,Buffalo Sabres,2,MassMutual East,Eastern
2020-21,2021-04-01,Buffalo Sabres,1,MassMutual East,Eastern
2020-21,2021-04-03,Buffalo Sabres,2,MassMutual East,Eastern
2020-21,2021-04-06,Buffalo Sabres,2,MassMutual East,Eastern
2020-21,2021-04-08,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-04-09,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-04-11,Buffalo Sabres,2,MassMutual East,Eastern
2020-21,2021-04-13,Buffalo Sabres,1,MassMutual East,Eastern
2020-21,2021-04-15,Buffalo Sabres,2,MassMutual East,Eastern
2020-21,2021-04-17,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-04-18,Buffalo Sabres,2,MassMutual East,Eastern
2020-21,2021-04-20,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-04-22,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-04-23,Buffalo Sabres,2,MassMutual East,Eastern
2020-21,2021-04-25,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-04-27,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-04-29,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-05-01,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-05-03,Buffalo Sabres,2,MassMutual East,Eastern
2020-21,2021-05-04,Buffalo Sabres,2,MassMutual East,Eastern
2020-21,2021-05-06,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-05-08,Buffalo Sabres,0,MassMutual East,Eastern
2020-21,2021-01-15,Calgary Flames,1,Scotia North,Western
2020-21,2021-01-17,Calgary Flames,2,Scotia North,Western
2020-21,2021-01-19,Calgary Flames,2,Scotia North,Western
2020-21,2021-01-24,Calgary Flames,0,Scotia North,Western
2020-21,2021-01-27,Calgary Flames,0,Scotia North,Western
2020-21,2021-01-29,Calgary Flames,0,Scotia North,Western
2020-21,2021-01-31,Calgary Flames,2,Scotia North,Western
2020-21,2021-02-02,Calgary Flames,2,Scotia North,Western
2020-21,2021-02-03,Calgary Flames,0,Scotia North,Western
2020-21,2021-02-05,Calgary Flames,0,Scotia North,Western
2020-21,2021-02-07,Calgary Flames,2,Scotia North,Western
2020-21,2021-02-10,Calgary Flames,2,Scotia North,Western
2020-21,2021-02-12,Calgary Flames,2,Scotia North,Western
2020-21,2021-02-14,Calgary Flames,0,Scotia North,Western
2020-21,2021-02-16,Calgary Flames,2,Scotia North,Western
2020-21,2021-02-18,Calgary Flames,0,Scotia North,Western
2020-21,2021-02-20,Calgary Flames,0,Scotia North,Western
2020-21,2021-02-21,Calgary Flames,0,Scotia North,Western
2020-21,2021-02-23,Calgary Flames,2,Scotia North,Western
2020-21,2021-02-25,Calgary Flames,1,Scotia North,Western
2020-21,2021-02-26,Calgary Flames,0,Scotia North,Western
2020-21,2021-02-27,Calgary Flames,2,Scotia North,Western
2020-21,2021-03-02,Calgary Flames,0,Scotia North,Western
2020-21,2021-03-05,Calgary Flames,2,Scotia North,Western
2020-21,2021-03-07,Calgary Flames,0,Scotia North,Western
2020-21,2021-03-08,Calgary Flames,1,Scotia North,Western
2020-21,2021-03-12,Calgary Flames,2,Scotia North,Western
2020-21,2021-03-14,Calgary Flames,2,Scotia North,Western
2020-21,2021-03-16,Calgary Flames,2,Scotia North,Western
2020-21,2021-03-18,Calgary Flames,0,Scotia North,Western
2020-21,2021-03-19,Calgary Flames,2,Scotia North,Western
2020-21,2021-03-20,Calgary Flames,0,Scotia North,Western
2020-21,2021-03-22,Calgary Flames,0,Scotia North,Western
2020-21,2021-03-24,Calgary Flames,0,Scotia North,Western
2020-21,2021-03-27,Calgary Flames,0,Scotia North,Western
2020-21,2021-03-28,Calgary Flames,2,Scotia North,Western
2020-21,2021-03-30,Calgary Flames,0,Scotia North,Western
2020-21,2021-04-03,Calgary Flames,0,Scotia North,Western
2020-21,2021-04-05,Calgary Flames,0,Scotia North,Western
2020-21,2021-04-06,Calgary Flames,0,Scotia North,Western
2020-21,2021-04-11,Calgary Flames,2,Scotia North,Western
2020-21,2021-04-13,Calgary Flames,2,Scotia North,Western
2020-21,2021-04-14,Calgary Flames,2,Scotia North,Western
2020-21,2021-04-16,Calgary Flames,0,Scotia North,Western
2020-21,2021-04-20,Calgary Flames,0,Scotia North,Western
2020-21,2021-04-24,Calgary Flames,2,Scotia North,Western
2020-21,2021-04-24,Calgary Flames,2,Scotia North,Western
2020-21,2021-04-26,Calgary Flames,0,Scotia North,Western
2020-21,2021-04-30,Calgary Flames,2,Scotia North,Western
2020-21,2021-05-02,Calgary Flames,0,Scotia North,Western
2020-21,2021-05-06,Calgary Flames,0,Scotia North,Western
2020-21,2021-05-10,Calgary Flames,2,Scotia North,Western
2020-21,2021-05-14,Calgary Flames,2,Scotia North,Western
2020-21,2021-05-17,Calgary Flames,2,Scotia North,Western
2020-21,2021-05-18,Calgary Flames,0,Scotia North,Western
2020-21,2021-05-19,Calgary Flames,2,Scotia North,Western
2020-21,2021-01-15,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-01-17,Carolina Hurricanes,0,Discover Central,Eastern
2020-21,2021-01-19,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-01-29,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-01-31,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-01-31,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-02-03,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-02-05,Carolina Hurricanes,0,Discover Central,Eastern
2020-21,2021-02-07,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-02-09,Carolina Hurricanes,0,Discover Central,Eastern
2020-21,2021-02-12,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-02-14,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-02-16,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-02-17,Carolina Hurricanes,1,Discover Central,Eastern
2020-21,2021-02-20,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-02-21,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-02-23,Carolina Hurricanes,0,Discover Central,Eastern
2020-21,2021-02-24,Carolina Hurricanes,0,Discover Central,Eastern
2020-21,2021-02-26,Carolina Hurricanes,0,Discover Central,Eastern
2020-21,2021-02-28,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-03-02,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-03-03,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-03-05,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-03-07,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-03-10,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-03-12,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-03-14,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-03-16,Carolina Hurricanes,0,Discover Central,Eastern
2020-21,2021-03-18,Carolina Hurricanes,1,Discover Central,Eastern
2020-21,2021-03-20,Carolina Hurricanes,1,Discover Central,Eastern
2020-21,2021-03-22,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-03-25,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-03-27,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-03-30,Carolina Hurricanes,0,Discover Central,Eastern
2020-21,2021-04-02,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-04-03,Carolina Hurricanes,0,Discover Central,Eastern
2020-21,2021-04-04,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-04-06,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-04-08,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-04-10,Carolina Hurricanes,1,Discover Central,Eastern
2020-21,2021-04-12,Carolina Hurricanes,0,Discover Central,Eastern
2020-21,2021-04-15,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-04-17,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-04-19,Carolina Hurricanes,1,Discover Central,Eastern
2020-21,2021-04-20,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-04-22,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-04-24,Carolina Hurricanes,1,Discover Central,Eastern
2020-21,2021-04-26,Carolina Hurricanes,1,Discover Central,Eastern
2020-21,2021-04-28,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-04-29,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-05-01,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-05-03,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-05-04,Carolina Hurricanes,2,Discover Central,Eastern
2020-21,2021-05-06,Carolina Hurricanes,1,Discover Central,Eastern
2020-21,2021-05-09,Carolina Hurricanes,0,Discover Central,Eastern
2020-21,2021-05-11,Carolina Hurricanes,0,Discover Central,Eastern
2020-21,2021-01-14,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-01-16,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-01-18,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-01-20,Chicago Blackhawks,1,Discover Central,Western
2020-21,2021-01-23,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-01-24,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-01-27,Chicago Blackhawks,1,Discover Central,Western
2020-21,2021-01-28,Chicago Blackhawks,1,Discover Central,Western
2020-21,2021-01-30,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-02-01,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-02-03,Chicago Blackhawks,1,Discover Central,Western
2020-21,2021-02-05,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-02-07,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-02-10,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-02-12,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-02-14,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-02-16,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-02-18,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-02-20,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-02-24,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-02-26,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-02-28,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-03-01,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-03-05,Chicago Blackhawks,1,Discover Central,Western
2020-21,2021-03-06,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-03-07,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-03-10,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-03-12,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-03-14,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-03-15,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-03-18,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-03-20,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-03-24,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-03-26,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-03-28,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-03-29,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-03-30,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-04-02,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-04-03,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-04-07,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-04-09,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-04-10,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-04-12,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-04-15,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-04-17,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-04-20,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-04-21,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-04-24,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-04-28,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-04-30,Chicago Blackhawks,1,Discover Central,Western
2020-21,2021-05-02,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-05-03,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-05-04,Chicago Blackhawks,0,Discover Central,Western
2020-21,2021-05-06,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-05-09,Chicago Blackhawks,2,Discover Central,Western
2020-21,2021-05-11,Chicago Blackhawks,1,Discover Central,Western
2020-21,2021-01-14,Colorado Avalanche,0,Honda West,Western
2020-21,2021-01-16,Colorado Avalanche,2,Honda West,Western
2020-21,2021-01-20,Colorado Avalanche,2,Honda West,Western
2020-21,2021-01-22,Colorado Avalanche,0,Honda West,Western
2020-21,2021-01-23,Colorado Avalanche,2,Honda West,Western
2020-21,2021-01-25,Colorado Avalanche,0,Honda West,Western
2020-21,2021-01-27,Colorado Avalanche,2,Honda West,Western
2020-21,2021-01-29,Colorado Avalanche,2,Honda West,Western
2020-21,2021-01-31,Colorado Avalanche,2,Honda West,Western
2020-21,2021-02-01,Colorado Avalanche,1,Honda West,Western
2020-21,2021-02-03,Colorado Avalanche,2,Honda West,Western
2020-21,2021-02-15,Colorado Avalanche,0,Honda West,Western
2020-21,2021-02-17,Colorado Avalanche,2,Honda West,Western
2020-21,2021-02-20,Colorado Avalanche,2,Honda West,Western
2020-21,2021-02-23,Colorado Avalanche,0,Honda West,Western
2020-21,2021-02-25,Colorado Avalanche,0,Honda West,Western
2020-21,2021-02-27,Colorado Avalanche,2,Honda West,Western
2020-21,2021-02-28,Colorado Avalanche,2,Honda West,Western
2020-21,2021-03-02,Colorado Avalanche,0,Honda West,Western
2020-21,2021-03-04,Colorado Avalanche,2,Honda West,Western
2020-21,2021-03-06,Colorado Avalanche,2,Honda West,Western
2020-21,2021-03-07,Colorado Avalanche,1,Honda West,Western
2020-21,2021-03-09,Colorado Avalanche,0,Honda West,Western
2020-21,2021-03-11,Colorado Avalanche,2,Honda West,Western
2020-21,2021-03-13,Colorado Avalanche,2,Honda West,Western
