season,date,team,points,division,conference
2020-21,2021-01-15,Anaheim Ducks,0,Honda West,Western
2020-21,2021-01-17,Anaheim Ducks,1,Honda West,Western
2020-21,2021-01-19,Anaheim Ducks,2,Honda West,Western
2020-21,2021-01-21,Anaheim Ducks,0,Honda West,Western
2020-21,2021-01-23,Anaheim Ducks,1,Honda West,Western
2020-21,2021-01-25,Anaheim Ducks,2,Honda West,Western
2020-21,2021-01-27,Anaheim Ducks,2,Honda West,Western
2020-21,2021-01-29,Anaheim Ducks,0,Honda West,Western
2020-21,2021-01-31,Anaheim Ducks,0,Honda West,Western
2020-21,2021-02-01,Anaheim Ducks,0,Honda West,Western
2020-21,2021-02-03,Anaheim Ducks,2,Honda West,Western
2020-21,2021-02-06,Anaheim Ducks,1,Honda West,Western
2020-21,2021-02-07,Anaheim Ducks,2,Honda West,Western
2020-21,2021-02-10,Anaheim Ducks,0,Honda West,Western
2020-21,2021-02-12,Anaheim Ducks,2,Honda West,Western
2020-21,2021-02-16,Anaheim Ducks,0,Honda West,Western
2020-21,2021-02-19,Anaheim Ducks,0,Honda West,Western
2020-21,2021-02-21,Anaheim Ducks,0,Honda West,Western
2020-21,2021-02-23,Anaheim Ducks,0,Honda West,Western
2020-21,2021-02-25,Anaheim Ducks,1,Honda West,Western
2020-21,2021-02-28,Anaheim Ducks,1,Honda West,Western
2020-21,2021-03-02,Anaheim Ducks,0,Honda West,Western
2020-21,2021-03-04,Anaheim Ducks,0,Honda West,Western
2020-21,2021-03-06,Anaheim Ducks,1,Honda West,Western
2020-21,2021-03-07,Anaheim Ducks,2,Honda West,Western
2020-21,2021-03-09,Anaheim Ducks,2,Honda West,Western
2020-21,2021-03-11,Anaheim Ducks,0,Honda West,Western
2020-21,2021-03-13,Anaheim Ducks,0,Honda West,Western
2020-21,2021-03-14,Anaheim Ducks,0,Honda West,Western
2020-21,2021-03-17,Anaheim Ducks,0,Honda West,Western
2020-21,2021-03-19,Anaheim Ducks,2,Honda West,Western
2020-21,2021-03-21,Anaheim Ducks,0,Honda West,Western
2020-21,2021-03-22,Anaheim Ducks,0,Honda West,Western
2020-21,2021-03-24,Anaheim Ducks,0,Honda West,Western
2020-21,2021-03-27,Anaheim Ducks,2,Honda West,Western
2020-21,2021-03-28,Anaheim Ducks,2,Honda West,Western
2020-21,2021-03-30,Anaheim Ducks,0,Honda West,Western
2020-21,2021-04-03,Anaheim Ducks,0,Honda West,Western
2020-21,2021-04-05,Anaheim Ducks,1,Honda West,Western
2020-21,2021-04-07,Anaheim Ducks,2,Honda West,Western
2020-21,2021-04-10,Anaheim Ducks,0,Honda West,Western
2020-21,2021-04-11,Anaheim Ducks,0,Honda West,Western
2020-21,2021-04-13,Anaheim Ducks,2,Honda West,Western
2020-21,2021-04-15,Anaheim Ducks,2,Honda West,Western
2020-21,2021-04-17,Anaheim Ducks,0,Honda West,Western
2020-21,2021-04-18,Anaheim Ducks,0,Honda West,Western
2020-21,2021-04-21,Anaheim Ducks,0,Honda West,Western
2020-21,2021-04-25,Anaheim Ducks,0,Honda West,Western
2020-21,2021-04-27,Anaheim Ducks,0,Honda West,Western
2020-21,2021-04-29,Anaheim Ducks,2,Honda West,Western
2020-21,2021-05-01,Anaheim Ducks,0,Honda West,Western
2020-21,2021-05-02,Anaheim Ducks,2,Honda West,Western
2020-21,2021-05-04,Anaheim Ducks,0,Honda West,Western
2020-21,2021-05-06,Anaheim Ducks,2,Honda West,Western
2020-21,2021-05-08,Anaheim Ducks,1,Honda West,Western
2020-21,2021-05-09,Anaheim Ducks,1,Honda West,Western
2020-21,2021-01-15,Arizona Coyotes,1,Honda West,Western
2020-21,2021-01-16,Arizona Coyotes,2,Honda West,Western
2020-21,2021-01-19,Arizona Coyotes,0,Honda West,Western
2020-21,2021-01-21,Arizona Coyotes,0,Honda West,Western
2020-21,2021-01-23,Arizona Coyotes,2,Honda West,Western
2020-21,2021-01-24,Arizona Coyotes,0,Honda West,Western
2020-21,2021-01-27,Arizona Coyotes,0,Honda West,Western
2020-21,2021-01-29,Arizona Coyotes,2,Honda West,Western
2020-21,2021-02-03,Arizona Coyotes,0,Honda West,Western
2020-21,2021-02-05,Arizona Coyotes,2,Honda West,Western
2020-21,2021-02-06,Arizona Coyotes,2,Honda West,Western
2020-21,2021-02-09,Arizona Coyotes,2,Honda West,Western
2020-21,2021-02-13,Arizona Coyotes,0,Honda West,Western
2020-21,2021-02-14,Arizona Coyotes,1,Honda West,Western
2020-21,2021-02-15,Arizona Coyotes,2,Honda West,Western
2020-21,2021-02-19,Arizona Coyotes,1,Honda West,Western
2020-21,2021-02-21,Arizona Coyotes,0,Honda West,Western
2020-21,2021-02-23,Arizona Coyotes,2,Honda West,Western
2020-21,2021-02-25,Arizona Coyotes,2,Honda West,Western
2020-21,2021-02-27,Arizona Coyotes,0,Honda West,Western
2020-21,2021-02-28,Arizona Coyotes,0,Honda West,Western
2020-21,2021-03-04,Arizona Coyotes,2,Honda West,Western
2020-21,2021-03-06,Arizona Coyotes,0,Honda West,Western
2020-21,2021-03-07,Arizona Coyotes,2,Honda West,Western
2020-21,2021-03-09,Arizona Coyotes,2,Honda West,Western
2020-21,2021-03-11,Arizona Coyotes,1,Honda West,Western
2020-21,2021-03-13,Arizona Coyotes,0,Honda West,Western
2020-21,2021-03-14,Arizona Coyotes,0,Honda West,Western
2020-21,2021-03-17,Arizona Coyotes,0,Honda West,Western
2020-21,2021-03-19,Arizona Coyotes,1,Honda West,Western
2020-21,2021-03-21,Arizona Coyotes,2,Honda West,Western
2020-21,2021-03-23,Arizona Coyotes,0,Honda West,Western
2020-21,2021-03-24,Arizona Coyotes,2,Honda West,Western
2020-21,2021-03-27,Arizona Coyotes,2,Honda West,Western
2020-21,2021-03-28,Arizona Coyotes,2,Honda West,Western
2020-21,2021-04-01,Arizona Coyotes,0,Honda West,Western
2020-21,2021-04-03,Arizona Coyotes,2,Honda West,Western
2020-21,2021-04-05,Arizona Coyotes,2,Honda West,Western
2020-21,2021-04-06,Arizona Coyotes,2,Honda West,Western
2020-21,2021-04-08,Arizona Coyotes,0,Honda West,Western
2020-21,2021-04-10,Arizona Coyotes,0,Honda West,Western
2020-21,2021-04-11,Arizona Coyotes,0,Honda West,Western
2020-21,2021-04-13,Arizona Coyotes,0,Honda West,Western
2020-21,2021-04-14,Arizona Coyotes,0,Honda West,Western
2020-21,2021-04-17,Arizona Coyotes,2,Honda West,Western
2020-21,2021-04-20,Arizona Coyotes,0,Honda West,Western
2020-21,2021-04-22,Arizona Coyotes,0,Honda West,Western
2020-21,2021-04-25,Arizona Coyotes,2,Honda West,Western
