season,date,team,points,division,conference
2011-12,2011-10-08,Anaheim Ducks,0,Pacific,Western
2011-12,2011-10-09,Anaheim Ducks,2,Pacific,Western
2011-12,2011-10-15,Anaheim Ducks,2,Pacific,Western
2011-12,2011-10-17,Anaheim Ducks,2,Pacific,Western
2011-12,2011-10-18,Anaheim Ducks,2,Pacific,Western
2011-12,2011-10-22,Anaheim Ducks,0,Pacific,Western
2011-12,2011-10-24,Anaheim Ducks,0,Pacific,Western
2011-12,2011-10-26,Anaheim Ducks,1,Pacific,Western
2011-12,2011-10-28,Anaheim Ducks,2,Pacific,Western
2011-12,2011-10-30,Anaheim Ducks,0,Pacific,Western
2011-12,2011-10-30,Anaheim Ducks,0,Pacific,Western
2011-12,2011-11-01,Anaheim Ducks,1,Pacific,Western
2011-12,2011-11-03,Anaheim Ducks,1,Pacific,Western
2011-12,2011-11-05,Anaheim Ducks,0,Pacific,Western
2011-12,2011-11-10,Anaheim Ducks,0,Pacific,Western
2011-12,2011-11-12,Anaheim Ducks,2,Pacific,Western
2011-12,2011-11-14,Anaheim Ducks,0,Pacific,Western
2011-12,2011-11-17,Anaheim Ducks,1,Pacific,Western
2011-12,2011-11-18,Anaheim Ducks,0,Pacific,Western
2011-12,2011-11-21,Anaheim Ducks,0,Pacific,Western
2011-12,2011-11-24,Anaheim Ducks,0,Pacific,Western
2011-12,2011-11-25,Anaheim Ducks,0,Pacific,Western
2011-12,2011-11-28,Anaheim Ducks,0,Pacific,Western
2011-12,2011-12-01,Anaheim Ducks,2,Pacific,Western
2011-12,2011-12-03,Anaheim Ducks,1,Pacific,Western
2011-12,2011-12-05,Anaheim Ducks,0,Pacific,Western
2011-12,2011-12-07,Anaheim Ducks,2,Pacific,Western
2011-12,2011-12-09,Anaheim Ducks,0,Pacific,Western
2011-12,2011-12-11,Anaheim Ducks,0,Pacific,Western
2011-12,2011-12-15,Anaheim Ducks,2,Pacific,Western
2011-12,2011-12-17,Anaheim Ducks,0,Pacific,Western
2011-12,2011-12-18,Anaheim Ducks,0,Pacific,Western
2011-12,2011-12-20,Anaheim Ducks,0,Pacific,Western
2011-12,2011-12-23,Anaheim Ducks,1,Pacific,Western
2011-12,2011-12-27,Anaheim Ducks,2,Pacific,Western
2011-12,2011-12-30,Anaheim Ducks,0,Pacific,Western
2011-12,2012-01-01,Anaheim Ducks,0,Pacific,Western
2011-12,2012-01-05,Anaheim Ducks,0,Pacific,Western
2011-12,2012-01-07,Anaheim Ducks,2,Pacific,Western
2011-12,2012-01-09,Anaheim Ducks,2,Pacific,Western
2011-12,2012-01-11,Anaheim Ducks,2,Pacific,Western
2011-12,2012-01-13,Anaheim Ducks,1,Pacific,Western
2011-12,2012-01-14,Anaheim Ducks,2,Pacific,Western
2011-12,2012-01-16,Anaheim Ducks,2,Pacific,Western
2011-12,2012-01-19,Anaheim Ducks,2,Pacific,Western
2011-12,2012-01-21,Anaheim Ducks,2,Pacific,Western
2011-12,2012-01-23,Anaheim Ducks,2,Pacific,Western
2011-12,2012-01-25,Anaheim Ducks,0,Pacific,Western
2011-12,2012-02-01,Anaheim Ducks,2,Pacific,Western
2011-12,2012-02-02,Anaheim Ducks,0,Pacific,Western
2011-12,2012-02-04,Anaheim Ducks,1,Pacific,Western
2011-12,2012-02-07,Anaheim Ducks,2,Pacific,Western
2011-12,2012-02-09,Anaheim Ducks,2,Pacific,Western
2011-12,2012-02-11,Anaheim Ducks,1,Pacific,Western
2011-12,2012-02-12,Anaheim Ducks,2,Pacific,Western
2011-12,2012-02-15,Anaheim Ducks,2,Pacific,Western
2011-12,2012-02-16,Anaheim Ducks,2,Pacific,Western
2011-12,2012-02-18,Anaheim Ducks,1,Pacific,Western
2011-12,2012-02-19,Anaheim Ducks,2,Pacific,Western
2011-12,2012-02-22,Anaheim Ducks,0,Pacific,Western
2011-12,2012-02-24,Anaheim Ducks,2,Pacific,Western
2011-12,2012-02-27,Anaheim Ducks,2,Pacific,Western
2011-12,2012-02-28,Anaheim Ducks,0,Pacific,Western
2011-12,2012-03-01,Anaheim Ducks,0,Pacific,Western
2011-12,2012-03-03,Anaheim Ducks,2,Pacific,Western
2011-12,2012-03-04,Anaheim Ducks,0,Pacific,Western
2011-12,2012-03-06,Anaheim Ducks,2,Pacific,Western
2011-12,2012-03-09,Anaheim Ducks,0,Pacific,Western
2011-12,2012-03-11,Anaheim Ducks,0,Pacific,Western
2011-12,2012-03-13,Anaheim Ducks,1,Pacific,Western
2011-12,2012-03-15,Anaheim Ducks,2,Pacific,Western
2011-12,2012-03-17,Anaheim Ducks,0,Pacific,Western
2011-12,2012-03-19,Anaheim Ducks,0,Pacific,Western
2011-12,2012-03-20,Anaheim Ducks,2,Pacific,Western
2011-12,2012-03-22,Anaheim Ducks,2,Pacific,Western
2011-12,2012-03-26,Anaheim Ducks,0,Pacific,Western
2011-12,2012-03-29,Anaheim Ducks,2,Pacific,Western
2011-12,2012-04-01,Anaheim Ducks,0,Pacific,Western
2011-12,2012-04-02,Anaheim Ducks,0,Pacific,Western
2011-12,2012-04-04,Anaheim Ducks,1,Pacific,Western
2011-12,2012-04-06,Anaheim Ducks,2,Pacific,Western
2011-12,2012-04-07,Anaheim Ducks,0,Pacific,Western
2011-12,2011-10-06,Boston Bruins,0,Northeast,Eastern
2011-12,2011-10-08,Boston Bruins,2,Northeast,Eastern
2011-12,2011-10-10,Boston Bruins,0,Northeast,Eastern
2011-12,2011-10-12,Boston Bruins,0,Northeast,Eastern
2011-12,2011-10-16,Boston Bruins,2,Northeast,Eastern
2011-12,2011-10-18,Boston Bruins,0,Northeast,Eastern
2011-12,2011-10-20,Boston Bruins,2,Northeast,Eastern
2011-12,2011-10-22,Boston Bruins,0,Northeast,Eastern
2011-12,2011-10-27,Boston Bruins,0,Northeast,Eastern
2011-12,2011-10-29,Boston Bruins,0,Northeast,Eastern
2011-12,2011-11-01,Boston Bruins,2,Northeast,Eastern
2011-12,2011-11-05,Boston Bruins,2,Northeast,Eastern
2011-12,2011-11-08,Boston Bruins,2,Northeast,Eastern
2011-12,2011-11-11,Boston Bruins,2,Northeast,Eastern
2011-12,2011-11-13,Boston Bruins,2,Northeast,Eastern
2011-12,2011-11-16,Boston Bruins,2,Northeast,Eastern
2011-12,2011-11-18,Boston Bruins,2,Northeast,Eastern
2011-12,2011-11-20,Boston Bruins,2,Northeast,Eastern
2011-12,2011-11-22,Boston Bruins,2,Northeast,Eastern
2011-12,2011-11-24,Boston Bruins,2,Northeast,Eastern
2011-12,2011-11-25,Boston Bruins,1,Northeast,Eastern
2011-12,2011-11-27,Boston Bruins,2,Northeast,Eastern
2011-12,2011-12-01,Boston Bruins,2,Northeast,Eastern
2011-12,2011-12-04,Boston Bruins,2,Northeast,Eastern
2011-12,2011-12-06,Boston Bruins,2,Northeast,Eastern
2011-12,2011-12-07,Boston Bruins,0,Northeast,Eastern
2011-12,2011-12-09,Boston Bruins,0,Northeast,Eastern
2011-12,2011-12-11,Boston Bruins,2,Northeast,Eastern
2011-12,2011-12-14,Boston Bruins,2,Northeast,Eastern
