season,date,team,points,division,conference
2016-17,2016-10-14,Anaheim Ducks,0,Pacific,Western
2016-17,2016-10-15,Anaheim Ducks,0,Pacific,Western
2016-17,2016-10-16,Anaheim Ducks,1,Pacific,Western
2016-17,2016-10-18,Anaheim Ducks,0,Pacific,Western
2016-17,2016-10-20,Anaheim Ducks,2,Pacific,Western
2016-17,2016-10-24,Anaheim Ducks,2,Pacific,Western
2016-17,2016-10-26,Anaheim Ducks,1,Pacific,Western
2016-17,2016-10-27,Anaheim Ducks,2,Pacific,Western
2016-17,2016-10-29,Anaheim Ducks,0,Pacific,Western
2016-17,2016-11-02,Anaheim Ducks,2,Pacific,Western
2016-17,2016-11-03,Anaheim Ducks,0,Pacific,Western
2016-17,2016-11-05,Anaheim Ducks,2,Pacific,Western
2016-17,2016-11-07,Anaheim Ducks,2,Pacific,Western
2016-17,2016-11-10,Anaheim Ducks,1,Pacific,Western
2016-17,2016-11-11,Anaheim Ducks,2,Pacific,Western
2016-17,2016-11-13,Anaheim Ducks,0,Pacific,Western
2016-17,2016-11-16,Anaheim Ducks,2,Pacific,Western
2016-17,2016-11-18,Anaheim Ducks,2,Pacific,Western
2016-17,2016-11-21,Anaheim Ducks,0,Pacific,Western
2016-17,2016-11-23,Anaheim Ducks,1,Pacific,Western
2016-17,2016-11-25,Anaheim Ducks,0,Pacific,Western
2016-17,2016-11-27,Anaheim Ducks,2,Pacific,Western
2016-17,2016-11-30,Anaheim Ducks,2,Pacific,Western
2016-17,2016-12-02,Anaheim Ducks,2,Pacific,Western
2016-17,2016-12-04,Anaheim Ducks,1,Pacific,Western
2016-17,2016-12-05,Anaheim Ducks,0,Pacific,Western
2016-17,2016-12-08,Anaheim Ducks,2,Pacific,Western
2016-17,2016-12-10,Anaheim Ducks,2,Pacific,Western
2016-17,2016-12-11,Anaheim Ducks,2,Pacific,Western
2016-17,2016-12-14,Anaheim Ducks,0,Pacific,Western
2016-17,2016-12-16,Anaheim Ducks,2,Pacific,Western
2016-17,2016-12-18,Anaheim Ducks,0,Pacific,Western
2016-17,2016-12-20,Anaheim Ducks,2,Pacific,Western
2016-17,2016-12-21,Anaheim Ducks,0,Pacific,Western
2016-17,2016-12-23,Anaheim Ducks,1,Pacific,Western
2016-17,2016-12-28,Anaheim Ducks,1,Pacific,Western
2016-17,2016-12-30,Anaheim Ducks,2,Pacific,Western
2016-17,2016-12-31,Anaheim Ducks,1,Pacific,Western
2016-17,2017-01-02,Anaheim Ducks,2,Pacific,Western
2016-17,2017-01-05,Anaheim Ducks,2,Pacific,Western
2016-17,2017-01-07,Anaheim Ducks,2,Pacific,Western
2016-17,2017-01-09,Anaheim Ducks,0,Pacific,Western
2016-17,2017-01-11,Anaheim Ducks,2,Pacific,Western
2016-17,2017-01-13,Anaheim Ducks,2,Pacific,Western
2016-17,2017-01-15,Anaheim Ducks,2,Pacific,Western
2016-17,2017-01-16,Anaheim Ducks,1,Pacific,Western
2016-17,2017-01-18,Anaheim Ducks,2,Pacific,Western
2016-17,2017-01-20,Anaheim Ducks,2,Pacific,Western
2016-17,2017-01-22,Anaheim Ducks,0,Pacific,Western
2016-17,2017-01-24,Anaheim Ducks,2,Pacific,Western
2016-17,2017-01-26,Anaheim Ducks,0,Pacific,Western
2016-17,2017-02-01,Anaheim Ducks,2,Pacific,Western
2016-17,2017-02-04,Anaheim Ducks,0,Pacific,Western
2016-17,2017-02-05,Anaheim Ducks,1,Pacific,Western
2016-17,2017-02-08,Anaheim Ducks,0,Pacific,Western
2016-17,2017-02-10,Anaheim Ducks,2,Pacific,Western
2016-17,2017-02-12,Anaheim Ducks,0,Pacific,Western
2016-17,2017-02-15,Anaheim Ducks,2,Pacific,Western
2016-17,2017-02-18,Anaheim Ducks,0,Pacific,Western
2016-17,2017-02-20,Anaheim Ducks,2,Pacific,Western
2016-17,2017-02-21,Anaheim Ducks,0,Pacific,Western
2016-17,2017-02-23,Anaheim Ducks,2,Pacific,Western
2016-17,2017-02-25,Anaheim Ducks,0,Pacific,Western
2016-17,2017-03-04,Anaheim Ducks,2,Pacific,Western
2016-17,2017-03-06,Anaheim Ducks,0,Pacific,Western
2016-17,2017-03-08,Anaheim Ducks,2,Pacific,Western
2016-17,2017-03-10,Anaheim Ducks,2,Pacific,Western
2016-17,2017-03-11,Anaheim Ducks,0,Pacific,Western
2016-17,2017-03-13,Anaheim Ducks,2,Pacific,Western
2016-17,2017-03-16,Anaheim Ducks,2,Pacific,Western
2016-17,2017-03-18,Anaheim Ducks,1,Pacific,Western
2016-17,2017-03-19,Anaheim Ducks,2,Pacific,Western
2016-17,2017-03-23,Anaheim Ducks,2,Pacific,Western
2016-17,2017-03-25,Anaheim Ducks,2,Pacific,Western
2016-17,2017-03-27,Anaheim Ducks,2,Pacific,Western
2016-17,2017-03-29,Anaheim Ducks,2,Pacific,Western
2016-17,2017-03-31,Anaheim Ducks,1,Pacific,Western
2016-17,2017-04-02,Anaheim Ducks,1,Pacific,Western
2016-17,2017-04-03,Anaheim Ducks,2,Pacific,Western
2016-17,2017-04-05,Anaheim Ducks,2,Pacific,Western
2016-17,2017-04-07,Anaheim Ducks,2,Pacific,Western
2016-17,2017-04-10,Anaheim Ducks,2,Pacific,Western
2016-17,2016-10-16,Arizona Coyotes,2,Pacific,Western
2016-17,2016-10-18,Arizona Coyotes,0,Pacific,Western
2016-17,2016-10-20,Arizona Coyotes,0,Pacific,Western
2016-17,2016-10-21,Arizona Coyotes,0,Pacific,Western
2016-17,2016-10-23,Arizona Coyotes,0,Pacific,Western
2016-17,2016-10-25,Arizona Coyotes,0,Pacific,Western
2016-17,2016-10-27,Arizona Coyotes,2,Pacific,Western
2016-17,2016-10-30,Arizona Coyotes,0,Pacific,Western
2016-17,2016-11-02,Arizona Coyotes,2,Pacific,Western
2016-17,2016-11-04,Arizona Coyotes,2,Pacific,Western
2016-17,2016-11-05,Arizona Coyotes,0,Pacific,Western
2016-17,2016-11-09,Arizona Coyotes,2,Pacific,Western
2016-17,2016-11-11,Arizona Coyotes,0,Pacific,Western
2016-17,2016-11-13,Arizona Coyotes,0,Pacific,Western
2016-17,2016-11-17,Arizona Coyotes,1,Pacific,Western
2016-17,2016-11-18,Arizona Coyotes,1,Pacific,Western
2016-17,2016-11-20,Arizona Coyotes,2,Pacific,Western
2016-17,2016-11-24,Arizona Coyotes,0,Pacific,Western
2016-17,2016-11-26,Arizona Coyotes,2,Pacific,Western
2016-17,2016-11-27,Arizona Coyotes,2,Pacific,Western
2016-17,2016-11-30,Arizona Coyotes,1,Pacific,Western
2016-17,2016-12-02,Arizona Coyotes,0,Pacific,Western
2016-17,2016-12-04,Arizona Coyotes,1,Pacific,Western
2016-17,2016-12-06,Arizona Coyotes,0,Pacific,Western
2016-17,2016-12-07,Arizona Coyotes,0,Pacific,Western
2016-17,2016-12-09,Arizona Coyotes,1,Pacific,Western
2016-17,2016-12-11,Arizona Coyotes,2,Pacific,Western
2016-17,2016-12-13,Arizona Coyotes,0,Pacific,Western
2016-17,2016-12-14,Arizona Coyotes,2,Pacific,Western
2016-17,2016-12-16,Arizona Coyotes,2,Pacific,Western
2016-17,2016-12-17,Arizona Coyotes,0,Pacific,Western
2016-17,2016-12-20,Arizona Coyotes,0,Pacific,Western
2016-17,2016-12-22,Arizona Coyotes,0,Pacific,Western
2016-17,2016-12-24,Arizona Coyotes,0,Pacific,Western
2016-17,2016-12-28,Arizona Coyotes,0,Pacific,Western
2016-17,2016-12-30,Arizona Coyotes,0,Pacific,Western
2016-17,2017-01-01,Arizona Coyotes,0,Pacific,Western
2016-17,2017-01-05,Arizona Coyotes,0,Pacific,Western
2016-17,2017-01-07,Arizona Coyotes,1,Pacific,Western
2016-17,2017-01-08,Arizona Coyotes,2,Pacific,Western
2016-17,2017-01-14,Arizona Coyotes,2,Pacific,Western
2016-17,2017-01-15,Arizona Coyotes,0,Pacific,Western
2016-17,2017-01-17,Arizona Coyotes,0,Pacific,Western
2016-17,2017-01-19,Arizona Coyotes,0,Pacific,Western
2016-17,2017-01-20,Arizona Coyotes,0,Pacific,Western
2016-17,2017-01-22,Arizona Coyotes,2,Pacific,Western
2016-17,2017-01-24,Arizona Coyotes,2,Pacific,Western
2016-17,2017-01-27,Arizona Coyotes,2,Pacific,Western
2016-17,2017-02-01,Arizona Coyotes,0,Pacific,Western
2016-17,2017-02-03,Arizona Coyotes,0,Pacific,Western
2016-17,2017-02-05,Arizona Coyotes,2,Pacific,Western
2016-17,2017-02-10,Arizona Coyotes,1,Pacific,Western
2016-17,2017-02-12,Arizona Coyotes,2,Pacific,Western
2016-17,2017-02-14,Arizona Coyotes,2,Pacific,Western
2016-17,2017-02-15,Arizona Coyotes,0,Pacific,Western
2016-17,2017-02-17,Arizona Coyotes,2,Pacific,Western
2016-17,2017-02-19,Arizona Coyotes,0,Pacific,Western
2016-17,2017-02-21,Arizona Coyotes,2,Pacific,Western
2016-17,2017-02-24,Arizona Coyotes,0,Pacific,Western
2016-17,2017-02-25,Arizona Coyotes,0,Pacific,Western
2016-17,2017-02-27,Arizona Coyotes,2,Pacific,Western
2016-17,2017-03-01,Arizona Coyotes,0,Pacific,Western
2016-17,2017-03-03,Arizona Coyotes,0,Pacific,Western
2016-17,2017-03-04,Arizona Coyotes,2,Pacific,Western
2016-17,2017-03-06,Arizona Coyotes,0,Pacific,Western
2016-17,2017-03-10,Arizona Coyotes,1,Pacific,Western
2016-17,2017-03-12,Arizona Coyotes,2,Pacific,Western
2016-17,2017-03-14,Arizona Coyotes,2,Pacific,Western
2016-17,2017-03-15,Arizona Coyotes,2,Pacific,Western
2016-17,2017-03-17,Arizona Coyotes,1,Pacific,Western
2016-17,2017-03-19,Arizona Coyotes,0,Pacific,Western
2016-17,2017-03-21,Arizona Coyotes,0,Pacific,Western
2016-17,2017-03-21,Arizona Coyotes,2,Pacific,Western
2016-17,2017-03-23,Arizona Coyotes,0,Pacific,Western
2016-17,2017-03-25,Arizona Coyotes,0,Pacific,Western
2016-17,2017-03-28,Arizona Coyotes,0,Pacific,Western
2016-17,2017-03-30,Arizona Coyotes,0,Pacific,Western
2016-17,2017-04-01,Arizona Coyotes,2,Pacific,Western
2016-17,2017-04-03,Arizona Coyotes,2,Pacific,Western
2016-17,2017-04-05,Arizona Coyotes,1,Pacific,Western
2016-17,2017-04-07,Arizona Coyotes,2,Pacific,Western
2016-17,2017-04-09,Arizona Coyotes,0,Pacific,Western
2016-17,2016-10-13,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-10-15,Boston Bruins,0,Atlantic,Eastern
2016-17,2016-10-18,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-10-20,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-10-22,Boston Bruins,0,Atlantic,Eastern
2016-17,2016-10-25,Boston Bruins,0,Atlantic,Eastern
2016-17,2016-10-27,Boston Bruins,0,Atlantic,Eastern
2016-17,2016-10-29,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-11-01,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-11-03,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-11-05,Boston Bruins,0,Atlantic,Eastern
2016-17,2016-11-08,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-11-09,Boston Bruins,0,Atlantic,Eastern
2016-17,2016-11-11,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-11-13,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-11-14,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-11-18,Boston Bruins,0,Atlantic,Eastern
2016-17,2016-11-20,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-11-23,Boston Bruins,0,Atlantic,Eastern
2016-17,2016-11-25,Boston Bruins,0,Atlantic,Eastern
2016-17,2016-11-26,Boston Bruins,0,Atlantic,Eastern
2016-17,2016-11-27,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-11-30,Boston Bruins,1,Atlantic,Eastern
2016-17,2016-12-02,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-12-03,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-12-06,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-12-08,Boston Bruins,1,Atlantic,Eastern
2016-17,2016-12-09,Boston Bruins,0,Atlantic,Eastern
2016-17,2016-12-11,Boston Bruins,0,Atlantic,Eastern
2016-17,2016-12-13,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-12-15,Boston Bruins,1,Atlantic,Eastern
2016-17,2016-12-16,Boston Bruins,0,Atlantic,Eastern
2016-17,2016-12-18,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-12-21,Boston Bruins,0,Atlantic,Eastern
2016-17,2016-12-23,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-12-24,Boston Bruins,1,Atlantic,Eastern
2016-17,2016-12-28,Boston Bruins,0,Atlantic,Eastern
2016-17,2016-12-30,Boston Bruins,2,Atlantic,Eastern
2016-17,2016-12-31,Boston Bruins,2,Atlantic,Eastern
2016-17,2017-01-03,Boston Bruins,0,Atlantic,Eastern
2016-17,2017-01-06,Boston Bruins,0,Atlantic,Eastern
2016-17,2017-01-08,Boston Bruins,2,Atlantic,Eastern
2016-17,2017-01-08,Boston Bruins,1,Atlantic,Eastern
2016-17,2017-01-11,Boston Bruins,2,Atlantic,Eastern
2016-17,2017-01-13,Boston Bruins,0,Atlantic,Eastern
