season,date,team,points,division,conference
2018-19,2019-03-18,Anaheim Ducks,2,Pacific,Western
2018-19,2019-03-21,Anaheim Ducks,0,Pacific,Western
2018-19,2019-03-23,Anaheim Ducks,2,Pacific,Western
2018-19,2019-03-24,Anaheim Ducks,1,Pacific,Western
2018-19,2019-03-27,Anaheim Ducks,2,Pacific,Western
2018-19,2019-03-30,Anaheim Ducks,0,Pacific,Western
2018-19,2019-03-31,Anaheim Ducks,2,Pacific,Western
2018-19,2019-04-04,Anaheim Ducks,2,Pacific,Western
2018-19,2019-04-06,Anaheim Ducks,2,Pacific,Western
2018-19,2018-10-05,Arizona Coyotes,0,Pacific,Western
2018-19,2018-10-07,Arizona Coyotes,0,Pacific,Western
2018-19,2018-10-11,Arizona Coyotes,2,Pacific,Western
2018-19,2018-10-14,Arizona Coyotes,0,Pacific,Western
2018-19,2018-10-17,Arizona Coyotes,0,Pacific,Western
2018-19,2018-10-19,Arizona Coyotes,2,Pacific,Western
2018-19,2018-10-20,Arizona Coyotes,0,Pacific,Western
2018-19,2018-10-23,Arizona Coyotes,2,Pacific,Western
2018-19,2018-10-26,Arizona Coyotes,2,Pacific,Western
2018-19,2018-10-28,Arizona Coyotes,2,Pacific,Western
2018-19,2018-10-31,Arizona Coyotes,2,Pacific,Western
2018-19,2018-11-03,Arizona Coyotes,2,Pacific,Western
2018-19,2018-11-06,Arizona Coyotes,0,Pacific,Western
2018-19,2018-11-09,Arizona Coyotes,1,Pacific,Western
2018-19,2018-11-11,Arizona Coyotes,2,Pacific,Western
2018-19,2018-11-11,Arizona Coyotes,0,Pacific,Western
2018-19,2018-11-14,Arizona Coyotes,0,Pacific,Western
2018-19,2018-11-16,Arizona Coyotes,2,Pacific,Western
2018-19,2018-11-18,Arizona Coyotes,0,Pacific,Western
2018-19,2018-11-22,Arizona Coyotes,1,Pacific,Western
2018-19,2018-11-24,Arizona Coyotes,0,Pacific,Western
2018-19,2018-11-25,Arizona Coyotes,0,Pacific,Western
2018-19,2018-11-28,Arizona Coyotes,2,Pacific,Western
2018-19,2018-11-30,Arizona Coyotes,2,Pacific,Western
2018-19,2018-12-02,Arizona Coyotes,2,Pacific,Western
2018-19,2018-12-05,Arizona Coyotes,2,Pacific,Western
2018-19,2018-12-07,Arizona Coyotes,0,Pacific,Western
2018-19,2018-12-09,Arizona Coyotes,0,Pacific,Western
2018-19,2018-12-12,Arizona Coyotes,0,Pacific,Western
2018-19,2018-12-14,Arizona Coyotes,0,Pacific,Western
2018-19,2018-12-15,Arizona Coyotes,2,Pacific,Western
2018-19,2018-12-16,Arizona Coyotes,0,Pacific,Western
2018-19,2018-12-19,Arizona Coyotes,0,Pacific,Western
2018-19,2018-12-21,Arizona Coyotes,0,Pacific,Western
2018-19,2018-12-23,Arizona Coyotes,2,Pacific,Western
2018-19,2018-12-24,Arizona Coyotes,2,Pacific,Western
2018-19,2018-12-28,Arizona Coyotes,0,Pacific,Western
2018-19,2018-12-30,Arizona Coyotes,2,Pacific,Western
2018-19,2018-12-31,Arizona Coyotes,0,Pacific,Western
2018-19,2019-01-03,Arizona Coyotes,0,Pacific,Western
2018-19,2019-01-05,Arizona Coyotes,1,Pacific,Western
2018-19,2019-01-06,Arizona Coyotes,2,Pacific,Western
2018-19,2019-01-11,Arizona Coyotes,2,Pacific,Western
2018-19,2019-01-13,Arizona Coyotes,2,Pacific,Western
2018-19,2019-01-14,Arizona Coyotes,0,Pacific,Western
2018-19,2019-01-17,Arizona Coyotes,2,Pacific,Western
2018-19,2019-01-19,Arizona Coyotes,1,Pacific,Western
2018-19,2019-01-21,Arizona Coyotes,2,Pacific,Western
2018-19,2019-01-23,Arizona Coyotes,2,Pacific,Western
2018-19,2019-01-24,Arizona Coyotes,0,Pacific,Western
2018-19,2019-02-03,Arizona Coyotes,1,Pacific,Western
2018-19,2019-02-05,Arizona Coyotes,0,Pacific,Western
2018-19,2019-02-06,Arizona Coyotes,0,Pacific,Western
2018-19,2019-02-08,Arizona Coyotes,0,Pacific,Western
2018-19,2019-02-09,Arizona Coyotes,2,Pacific,Western
2018-19,2019-02-13,Arizona Coyotes,2,Pacific,Western
2018-19,2019-02-15,Arizona Coyotes,0,Pacific,Western
2018-19,2019-02-17,Arizona Coyotes,2,Pacific,Western
2018-19,2019-02-18,Arizona Coyotes,0,Pacific,Western
2018-19,2019-02-20,Arizona Coyotes,2,Pacific,Western
2018-19,2019-02-22,Arizona Coyotes,2,Pacific,Western
2018-19,2019-02-25,Arizona Coyotes,2,Pacific,Western
2018-19,2019-02-27,Arizona Coyotes,2,Pacific,Western
2018-19,2019-03-01,Arizona Coyotes,2,Pacific,Western
2018-19,2019-03-03,Arizona Coyotes,2,Pacific,Western
2018-19,2019-03-06,Arizona Coyotes,0,Pacific,Western
2018-19,2019-03-08,Arizona Coyotes,2,Pacific,Western
2018-19,2019-03-10,Arizona Coyotes,2,Pacific,Western
2018-19,2019-03-12,Arizona Coyotes,0,Pacific,Western
2018-19,2019-03-13,Arizona Coyotes,2,Pacific,Western
2018-19,2019-03-15,Arizona Coyotes,2,Pacific,Western
2018-19,2019-03-17,Arizona Coyotes,1,Pacific,Western
2018-19,2019-03-18,Arizona Coyotes,0,Pacific,Western
2018-19,2019-03-21,Arizona Coyotes,0,Pacific,Western
2018-19,2019-03-23,Arizona Coyotes,1,Pacific,Western
2018-19,2019-03-24,Arizona Coyotes,0,Pacific,Western
2018-19,2019-03-27,Arizona Coyotes,2,Pacific,Western
2018-19,2019-03-30,Arizona Coyotes,1,Pacific,Western
2018-19,2019-03-31,Arizona Coyotes,2,Pacific,Western
2018-19,2019-04-03,Arizona Coyotes,0,Pacific,Western
2018-19,2019-04-05,Arizona Coyotes,2,Pacific,Western
2018-19,2019-04-07,Arizona Coyotes,0,Pacific,Western
2018-19,2018-10-03,Boston Bruins,0,Atlantic,Eastern
2018-19,2018-10-04,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-10-08,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-10-11,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-10-13,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-10-18,Boston Bruins,0,Atlantic,Eastern
2018-19,2018-10-19,Boston Bruins,1,Atlantic,Eastern
2018-19,2018-10-21,Boston Bruins,1,Atlantic,Eastern
2018-19,2018-10-23,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-10-25,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-10-27,Boston Bruins,0,Atlantic,Eastern
2018-19,2018-10-30,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-11-04,Boston Bruins,0,Atlantic,Eastern
2018-19,2018-11-06,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-11-09,Boston Bruins,0,Atlantic,Eastern
2018-19,2018-11-11,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-11-12,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-11-15,Boston Bruins,0,Atlantic,Eastern
2018-19,2018-11-17,Boston Bruins,1,Atlantic,Eastern
2018-19,2018-11-18,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-11-22,Boston Bruins,1,Atlantic,Eastern
2018-19,2018-11-24,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-11-25,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-11-27,Boston Bruins,0,Atlantic,Eastern
2018-19,2018-11-30,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-12-02,Boston Bruins,0,Atlantic,Eastern
2018-19,2018-12-05,Boston Bruins,0,Atlantic,Eastern
2018-19,2018-12-07,Boston Bruins,0,Atlantic,Eastern
2018-19,2018-12-09,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-12-09,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-12-12,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-12-15,Boston Bruins,0,Atlantic,Eastern
2018-19,2018-12-16,Boston Bruins,0,Atlantic,Eastern
2018-19,2018-12-18,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-12-21,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-12-22,Boston Bruins,2,Atlantic,Eastern
2018-19,2018-12-23,Boston Bruins,0,Atlantic,Eastern
2018-19,2018-12-28,Boston Bruins,0,Atlantic,Eastern
2018-19,2018-12-30,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-01-01,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-01-04,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-01-06,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-01-09,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-01-11,Boston Bruins,0,Atlantic,Eastern
2018-19,2019-01-13,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-01-15,Boston Bruins,1,Atlantic,Eastern
2018-19,2019-01-17,Boston Bruins,0,Atlantic,Eastern
2018-19,2019-01-18,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-01-20,Boston Bruins,0,Atlantic,Eastern
2018-19,2019-01-30,Boston Bruins,1,Atlantic,Eastern
2018-19,2019-02-01,Boston Bruins,1,Atlantic,Eastern
2018-19,2019-02-03,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-02-06,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-02-07,Boston Bruins,1,Atlantic,Eastern
2018-19,2019-02-09,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-02-10,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-02-13,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-02-16,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-02-17,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-02-19,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-02-21,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-02-23,Boston Bruins,1,Atlantic,Eastern
2018-19,2019-02-27,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-03-01,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-03-03,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-03-06,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-03-08,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-03-10,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-03-10,Boston Bruins,0,Atlantic,Eastern
2018-19,2019-03-12,Boston Bruins,0,Atlantic,Eastern
2018-19,2019-03-15,Boston Bruins,0,Atlantic,Eastern
2018-19,2019-03-16,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-03-19,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-03-21,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-03-23,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-03-25,Boston Bruins,0,Atlantic,Eastern
2018-19,2019-03-27,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-03-30,Boston Bruins,0,Atlantic,Eastern
2018-19,2019-03-31,Boston Bruins,0,Atlantic,Eastern
2018-19,2019-04-02,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-04-05,Boston Bruins,2,Atlantic,Eastern
2018-19,2019-04-06,Boston Bruins,0,Atlantic,Eastern
2018-19,2018-10-04,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2018-10-06,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-10-08,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-10-11,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2018-10-14,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-10-17,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2018-10-19,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2018-10-20,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-10-22,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-10-25,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-10-27,Buffalo Sabres,1,Atlantic,Eastern
2018-19,2018-10-30,Buffalo Sabres,1,Atlantic,Eastern
2018-19,2018-11-01,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2018-11-03,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-11-05,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2018-11-09,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-11-10,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-11-14,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-11-17,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-11-17,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-11-20,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-11-22,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-11-23,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-11-25,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-11-28,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-11-30,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2018-12-01,Buffalo Sabres,1,Atlantic,Eastern
2018-19,2018-12-04,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2018-12-05,Buffalo Sabres,1,Atlantic,Eastern
2018-19,2018-12-08,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2018-12-12,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-12-14,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-12-16,Buffalo Sabres,1,Atlantic,Eastern
2018-19,2018-12-16,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-12-19,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2018-12-22,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2018-12-23,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-12-28,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2018-12-30,Buffalo Sabres,1,Atlantic,Eastern
2018-19,2018-12-31,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-01-04,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2019-01-06,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-01-09,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2019-01-12,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-01-13,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-01-15,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-01-17,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2019-01-19,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-01-30,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2019-01-31,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-02-02,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-02-06,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2019-02-08,Buffalo Sabres,1,Atlantic,Eastern
2018-19,2019-02-09,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2019-02-10,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-02-13,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2019-02-16,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-02-17,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-02-20,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-02-22,Buffalo Sabres,1,Atlantic,Eastern
2018-19,2019-02-23,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2019-02-26,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-02-27,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-03-02,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2019-03-03,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-03-05,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-03-08,Buffalo Sabres,1,Atlantic,Eastern
2018-19,2019-03-09,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-03-12,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-03-14,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-03-16,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-03-17,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2019-03-20,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-03-23,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-03-25,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-03-26,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-03-28,Buffalo Sabres,1,Atlantic,Eastern
2018-19,2019-03-30,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-03-31,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-04-02,Buffalo Sabres,0,Atlantic,Eastern
2018-19,2019-04-04,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2019-04-06,Buffalo Sabres,2,Atlantic,Eastern
2018-19,2018-10-04,Calgary Flames,0,Pacific,Western
2018-19,2018-10-07,Calgary Flames,2,Pacific,Western
2018-19,2018-10-10,Calgary Flames,2,Pacific,Western
2018-19,2018-10-12,Calgary Flames,0,Pacific,Western
2018-19,2018-10-14,Calgary Flames,2,Pacific,Western
2018-19,2018-10-18,Calgary Flames,2,Pacific,Western
2018-19,2018-10-20,Calgary Flames,0,Pacific,Western
2018-19,2018-10-21,Calgary Flames,2,Pacific,Western
2018-19,2018-10-23,Calgary Flames,0,Pacific,Western
2018-19,2018-10-26,Calgary Flames,0,Pacific,Western
2018-19,2018-10-27,Calgary Flames,1,Pacific,Western
2018-19,2018-10-29,Calgary Flames,2,Pacific,Western
2018-19,2018-10-30,Calgary Flames,2,Pacific,Western
2018-19,2018-11-02,Calgary Flames,2,Pacific,Western
2018-19,2018-11-04,Calgary Flames,2,Pacific,Western
2018-19,2018-11-08,Calgary Flames,0,Pacific,Western
2018-19,2018-11-11,Calgary Flames,2,Pacific,Western
2018-19,2018-11-12,Calgary Flames,0,Pacific,Western
2018-19,2018-11-16,Calgary Flames,0,Pacific,Western
2018-19,2018-11-18,Calgary Flames,2,Pacific,Western
2018-19,2018-11-20,Calgary Flames,2,Pacific,Western
2018-19,2018-11-22,Calgary Flames,2,Pacific,Western
2018-19,2018-11-23,Calgary Flames,0,Pacific,Western
2018-19,2018-11-25,Calgary Flames,2,Pacific,Western
2018-19,2018-11-29,Calgary Flames,1,Pacific,Western
2018-19,2018-12-01,Calgary Flames,2,Pacific,Western
2018-19,2018-12-03,Calgary Flames,2,Pacific,Western
2018-19,2018-12-05,Calgary Flames,2,Pacific,Western
2018-19,2018-12-07,Calgary Flames,2,Pacific,Western
2018-19,2018-12-09,Calgary Flames,2,Pacific,Western
2018-19,2018-12-10,Calgary Flames,0,Pacific,Western
2018-19,2018-12-13,Calgary Flames,2,Pacific,Western
2018-19,2018-12-15,Calgary Flames,2,Pacific,Western
2018-19,2018-12-16,Calgary Flames,2,Pacific,Western
2018-19,2018-12-19,Calgary Flames,0,Pacific,Western
2018-19,2018-12-21,Calgary Flames,1,Pacific,Western
2018-19,2018-12-22,Calgary Flames,0,Pacific,Western
2018-19,2018-12-28,Calgary Flames,2,Pacific,Western
2018-19,2018-12-30,Calgary Flames,1,Pacific,Western
2018-19,2019-01-01,Calgary Flames,2,Pacific,Western
2018-19,2019-01-03,Calgary Flames,2,Pacific,Western
2018-19,2019-01-04,Calgary Flames,0,Pacific,Western
2018-19,2019-01-05,Calgary Flames,2,Pacific,Western
2018-19,2019-01-08,Calgary Flames,2,Pacific,Western
2018-19,2019-01-10,Calgary Flames,2,Pacific,Western
2018-19,2019-01-12,Calgary Flames,2,Pacific,Western
2018-19,2019-01-14,Calgary Flames,2,Pacific,Western
2018-19,2019-01-17,Calgary Flames,1,Pacific,Western
2018-19,2019-01-19,Calgary Flames,2,Pacific,Western
2018-19,2019-01-20,Calgary Flames,2,Pacific,Western
2018-19,2019-01-23,Calgary Flames,2,Pacific,Western
2018-19,2019-02-02,Calgary Flames,0,Pacific,Western
2018-19,2019-02-03,Calgary Flames,2,Pacific,Western
2018-19,2019-02-08,Calgary Flames,0,Pacific,Western
2018-19,2019-02-10,Calgary Flames,1,Pacific,Western
2018-19,2019-02-13,Calgary Flames,0,Pacific,Western
2018-19,2019-02-15,Calgary Flames,1,Pacific,Western
2018-19,2019-02-16,Calgary Flames,2,Pacific,Western
2018-19,2019-02-18,Calgary Flames,2,Pacific,Western
2018-19,2019-02-21,Calgary Flames,2,Pacific,Western
2018-19,2019-02-23,Calgary Flames,2,Pacific,Western
2018-19,2019-02-25,Calgary Flames,2,Pacific,Western
2018-19,2019-02-27,Calgary Flames,2,Pacific,Western
2018-19,2019-02-28,Calgary Flames,2,Pacific,Western
2018-19,2019-03-03,Calgary Flames,0,Pacific,Western
2018-19,2019-03-05,Calgary Flames,0,Pacific,Western
2018-19,2019-03-07,Calgary Flames,0,Pacific,Western
2018-19,2019-03-08,Calgary Flames,0,Pacific,Western
2018-19,2019-03-11,Calgary Flames,2,Pacific,Western
2018-19,2019-03-13,Calgary Flames,2,Pacific,Western
2018-19,2019-03-16,Calgary Flames,0,Pacific,Western
2018-19,2019-03-16,Calgary Flames,2,Pacific,Western
2018-19,2019-03-20,Calgary Flames,2,Pacific,Western
2018-19,2019-03-22,Calgary Flames,2,Pacific,Western
2018-19,2019-03-24,Calgary Flames,2,Pacific,Western
2018-19,2019-03-26,Calgary Flames,0,Pacific,Western
2018-19,2019-03-28,Calgary Flames,0,Pacific,Western
2018-19,2019-03-30,Calgary Flames,2,Pacific,Western
2018-19,2019-04-01,Calgary Flames,2,Pacific,Western
2018-19,2019-04-02,Calgary Flames,2,Pacific,Western
2018-19,2019-04-04,Calgary Flames,0,Pacific,Western
2018-19,2019-04-07,Calgary Flames,0,Pacific,Western
2018-19,2018-10-04,Carolina Hurricanes,1,Metropolitan,Eastern
2018-19,2018-10-05,Carolina Hurricanes,2,Metropolitan,Eastern
2018-19,2018-10-07,Carolina Hurricanes,2,Metropolitan,Eastern
2018-19,2018-10-09,Carolina Hurricanes,2,Metropolitan,Eastern
2018-19,2018-10-13,Carolina Hurricanes,2,Metropolitan,Eastern
2018-19,2018-10-14,Carolina Hurricanes,0,Metropolitan,Eastern
2018-19,2018-10-16,Carolina Hurricanes,0,Metropolitan,Eastern
2018-19,2018-10-20,Carolina Hurricanes,0,Metropolitan,Eastern
2018-19,2018-10-22,Carolina Hurricanes,2,Metropolitan,Eastern
2018-19,2018-10-26,Carolina Hurricanes,2,Metropolitan,Eastern
2018-19,2018-10-28,Carolina Hurricanes,0,Metropolitan,Eastern
2018-19,2018-10-30,Carolina Hurricanes,0,Metropolitan,Eastern
2018-19,2018-11-03,Carolina Hurricanes,1,Metropolitan,Eastern
2018-19,2018-11-04,Carolina Hurricanes,0,Metropolitan,Eastern
2018-19,2018-11-07,Carolina Hurricanes,0,Metropolitan,Eastern
2018-19,2018-11-09,Carolina Hurricanes,2,Metropolitan,Eastern
2018-19,2018-11-11,Carolina Hurricanes,1,Metropolitan,Eastern
2018-19,2018-11-13,Carolina Hurricanes,2,Metropolitan,Eastern
