season,date,team,points,division,conference
2018-19,2018-10-04,Anaheim Ducks,2,Pacific,Western
2018-19,2018-10-07,Anaheim Ducks,2,Pacific,Western
2018-19,2018-10-09,Anaheim Ducks,2,Pacific,Western
2018-19,2018-10-11,Anaheim Ducks,1,Pacific,Western
2018-19,2018-10-14,Anaheim Ducks,0,Pacific,Western
2018-19,2018-10-14,Anaheim Ducks,2,Pacific,Western
2018-19,2018-10-18,Anaheim Ducks,2,Pacific,Western
2018-19,2018-10-21,Anaheim Ducks,0,Pacific,Western
2018-19,2018-10-22,Anaheim Ducks,0,Pacific,Western
2018-19,2018-10-24,Anaheim Ducks,0,Pacific,Western
2018-19,2018-10-26,Anaheim Ducks,0,Pacific,Western
2018-19,2018-10-29,Anaheim Ducks,1,Pacific,Western
2018-19,2018-10-31,Anaheim Ducks,0,Pacific,Western
2018-19,2018-11-02,Anaheim Ducks,1,Pacific,Western
2018-19,2018-11-05,Anaheim Ducks,2,Pacific,Western
2018-19,2018-11-07,Anaheim Ducks,0,Pacific,Western
2018-19,2018-11-08,Anaheim Ducks,2,Pacific,Western
2018-19,2018-11-10,Anaheim Ducks,0,Pacific,Western
2018-19,2018-11-13,Anaheim Ducks,2,Pacific,Western
2018-19,2018-11-15,Anaheim Ducks,0,Pacific,Western
2018-19,2018-11-17,Anaheim Ducks,1,Pacific,Western
2018-19,2018-11-19,Anaheim Ducks,1,Pacific,Western
2018-19,2018-11-22,Anaheim Ducks,2,Pacific,Western
2018-19,2018-11-23,Anaheim Ducks,2,Pacific,Western
2018-19,2018-11-26,Anaheim Ducks,0,Pacific,Western
2018-19,2018-11-28,Anaheim Ducks,2,Pacific,Western
2018-19,2018-11-29,Anaheim Ducks,2,Pacific,Western
2018-19,2018-12-01,Anaheim Ducks,2,Pacific,Western
2018-19,2018-12-02,Anaheim Ducks,2,Pacific,Western
2018-19,2018-12-06,Anaheim Ducks,2,Pacific,Western
2018-19,2018-12-08,Anaheim Ducks,0,Pacific,Western
2018-19,2018-12-10,Anaheim Ducks,2,Pacific,Western
2018-19,2018-12-13,Anaheim Ducks,2,Pacific,Western
2018-19,2018-12-16,Anaheim Ducks,2,Pacific,Western
2018-19,2018-12-18,Anaheim Ducks,2,Pacific,Western
2018-19,2018-12-19,Anaheim Ducks,0,Pacific,Western
2018-19,2018-12-21,Anaheim Ducks,0,Pacific,Western
2018-19,2018-12-23,Anaheim Ducks,0,Pacific,Western
2018-19,2018-12-28,Anaheim Ducks,0,Pacific,Western
2018-19,2018-12-30,Anaheim Ducks,1,Pacific,Western
2018-19,2019-01-01,Anaheim Ducks,1,Pacific,Western
2018-19,2019-01-05,Anaheim Ducks,0,Pacific,Western
2018-19,2019-01-07,Anaheim Ducks,0,Pacific,Western
2018-19,2019-01-10,Anaheim Ducks,1,Pacific,Western
2018-19,2019-01-12,Anaheim Ducks,0,Pacific,Western
2018-19,2019-01-13,Anaheim Ducks,1,Pacific,Western
2018-19,2019-01-16,Anaheim Ducks,0,Pacific,Western
2018-19,2019-01-18,Anaheim Ducks,2,Pacific,Western
2018-19,2019-01-19,Anaheim Ducks,2,Pacific,Western
2018-19,2019-01-20,Anaheim Ducks,0,Pacific,Western
2018-19,2019-01-24,Anaheim Ducks,0,Pacific,Western
2018-19,2019-02-03,Anaheim Ducks,0,Pacific,Western
2018-19,2019-02-05,Anaheim Ducks,0,Pacific,Western
2018-19,2019-02-06,Anaheim Ducks,0,Pacific,Western
2018-19,2019-02-08,Anaheim Ducks,0,Pacific,Western
2018-19,2019-02-09,Anaheim Ducks,0,Pacific,Western
2018-19,2019-02-14,Anaheim Ducks,2,Pacific,Western
2018-19,2019-02-16,Anaheim Ducks,0,Pacific,Western
2018-19,2019-02-18,Anaheim Ducks,2,Pacific,Western
2018-19,2019-02-20,Anaheim Ducks,2,Pacific,Western
2018-19,2019-02-23,Anaheim Ducks,0,Pacific,Western
2018-19,2019-02-24,Anaheim Ducks,0,Pacific,Western
2018-19,2019-02-26,Anaheim Ducks,0,Pacific,Western
2018-19,2019-02-28,Anaheim Ducks,0,Pacific,Western
2018-19,2019-03-02,Anaheim Ducks,0,Pacific,Western
2018-19,2019-03-03,Anaheim Ducks,2,Pacific,Western
2018-19,2019-03-06,Anaheim Ducks,2,Pacific,Western
2018-19,2019-03-07,Anaheim Ducks,0,Pacific,Western
2018-19,2019-03-09,Anaheim Ducks,2,Pacific,Western
2018-19,2019-03-11,Anaheim Ducks,0,Pacific,Western
2018-19,2019-03-13,Anaheim Ducks,2,Pacific,Western
2018-19,2019-03-15,Anaheim Ducks,0,Pacific,Western
2018-19,2019-03-16,Anaheim Ducks,2,Pacific,Western
