season,date,div_conf_name,points_threshold
2011-12,2011-10-25,Pacific,12
2011-12,2011-10-26,Pacific,14
2011-12,2011-10-27,Pacific,14
2011-12,2011-10-28,Pacific,14
2011-12,2011-10-29,Pacific,14
2011-12,2011-10-30,Pacific,16
2011-12,2011-10-31,Pacific,16
2011-12,2011-11-01,Pacific,16
2011-12,2011-11-02,Pacific,16
2011-12,2011-11-03,Pacific,16
2011-12,2011-11-04,Pacific,16
2011-12,2011-11-05,Pacific,18
2011-12,2011-11-06,Pacific,20
2011-12,2011-11-07,Pacific,20
2011-12,2011-11-08,Pacific,20
2011-12,2011-11-09,Pacific,22
2011-12,2011-11-10,Pacific,22
2011-12,2011-11-11,Pacific,22
2011-12,2011-11-12,Pacific,22
2011-12,2011-11-13,Pacific,22
2011-12,2011-11-14,Pacific,22
2011-12,2011-11-15,Pacific,22
2011-12,2011-11-16,Pacific,22
2011-12,2011-11-17,Pacific,22
2011-12,2011-11-18,Pacific,23
2011-12,2011-11-19,Pacific,23
2011-12,2011-11-20,Pacific,23
2011-12,2011-11-21,Pacific,25
2011-12,2011-11-22,Pacific,25
2011-12,2011-11-23,Pacific,25
2011-12,2011-11-24,Pacific,27
2011-12,2011-11-25,Pacific,27
2011-12,2011-11-26,Pacific,27
2011-12,2011-11-27,Pacific,27
2011-12,2011-11-28,Pacific,27
2011-12,2011-11-29,Pacific,29
2011-12,2011-11-30,Pacific,29
2011-12,2011-12-01,Pacific,29
2011-12,2011-12-02,Pacific,31
2011-12,2011-12-03,Pacific,31
2011-12,2011-12-04,Pacific,31
2011-12,2011-12-05,Pacific,31
2011-12,2011-12-06,Pacific,31
2011-12,2011-12-07,Pacific,33
2011-12,2011-12-08,Pacific,33
2011-12,2011-12-09,Pacific,33
2011-12,2011-12-10,Pacific,33
2011-12,2011-12-11,Pacific,33
2011-12,2011-12-12,Pacific,33
2011-12,2011-12-13,Pacific,33
2011-12,2011-12-14,Pacific,35
2011-12,2011-12-15,Pacific,35
2011-12,2011-12-16,Pacific,37
2011-12,2011-12-17,Pacific,37
2011-12,2011-12-18,Pacific,37
2011-12,2011-12-19,Pacific,37
2011-12,2011-12-20,Pacific,39
2011-12,2011-12-21,Pacific,39
2011-12,2011-12-22,Pacific,39
2011-12,2011-12-23,Pacific,39
2011-12,2011-12-24,Pacific,41
2011-12,2011-12-25,Pacific,41
2011-12,2011-12-26,Pacific,41
2011-12,2011-12-27,Pacific,41
2011-12,2011-12-28,Pacific,41
2011-12,2011-12-29,Pacific,42
2011-12,2011-12-30,Pacific,42
2011-12,2011-12-31,Pacific,42
2011-12,2012-01-01,Pacific,44
2011-12,2012-01-02,Pacific,44
2011-12,2012-01-03,Pacific,45
2011-12,2012-01-04,Pacific,45
2011-12,2012-01-05,Pacific,46
2011-12,2012-01-06,Pacific,48
2011-12,2012-01-07,Pacific,48
2011-12,2012-01-08,Pacific,50
2011-12,2012-01-09,Pacific,50
2011-12,2012-01-10,Pacific,50
2011-12,2012-01-11,Pacific,51
2011-12,2012-01-12,Pacific,51
2011-12,2012-01-13,Pacific,53
2011-12,2012-01-14,Pacific,53
2011-12,2012-01-15,Pacific,55
2011-12,2012-01-16,Pacific,55
2011-12,2012-01-17,Pacific,55
2011-12,2012-01-18,Pacific,57
2011-12,2012-01-19,Pacific,57
2011-12,2012-01-20,Pacific,57
2011-12,2012-01-21,Pacific,57
2011-12,2012-01-22,Pacific,57
2011-12,2012-01-23,Pacific,57
2011-12,2012-01-24,Pacific,58
2011-12,2012-01-25,Pacific,60
2011-12,2012-01-26,Pacific,60
2011-12,2012-01-27,Pacific,60
2011-12,2012-01-28,Pacific,60
2011-12,2012-01-29,Pacific,60
2011-12,2012-01-30,Pacific,60
2011-12,2012-01-31,Pacific,60
2011-12,2012-02-01,Pacific,62
2011-12,2012-02-02,Pacific,62
2011-12,2012-02-03,Pacific,64
2011-12,2012-02-04,Pacific,64
2011-12,2012-02-05,Pacific,64
2011-12,2012-02-06,Pacific,64
2011-12,2012-02-07,Pacific,64
2011-12,2012-02-08,Pacific,64
2011-12,2012-02-09,Pacific,64
2011-12,2012-02-10,Pacific,64
2011-12,2012-02-11,Pacific,66
2011-12,2012-02-12,Pacific,66
2011-12,2012-02-13,Pacific,66
2011-12,2012-02-14,Pacific,68
2011-12,2012-02-15,Pacific,68
2011-12,2012-02-16,Pacific,68
2011-12,2012-02-17,Pacific,69
2011-12,2012-02-18,Pacific,69
2011-12,2012-02-19,Pacific,69
2011-12,2012-02-20,Pacific,69
2011-12,2012-02-21,Pacific,69
2011-12,2012-02-22,Pacific,69
2011-12,2012-02-23,Pacific,69
2011-12,2012-02-24,Pacific,71
2011-12,2012-02-25,Pacific,73
2011-12,2012-02-26,Pacific,73
2011-12,2012-02-27,Pacific,73
2011-12,2012-02-28,Pacific,73
2011-12,2012-02-29,Pacific,75
2011-12,2012-03-01,Pacific,75
2011-12,2012-03-02,Pacific,75
2011-12,2012-03-03,Pacific,75
2011-12,2012-03-04,Pacific,75
2011-12,2012-03-05,Pacific,75
2011-12,2012-03-06,Pacific,75
2011-12,2012-03-07,Pacific,77
2011-12,2012-03-08,Pacific,77
2011-12,2012-03-09,Pacific,79
2011-12,2012-03-10,Pacific,79
2011-12,2012-03-11,Pacific,81
2011-12,2012-03-12,Pacific,81
2011-12,2012-03-13,Pacific,81
2011-12,2012-03-14,Pacific,83
2011-12,2012-03-15,Pacific,83
2011-12,2012-03-16,Pacific,83
2011-12,2012-03-17,Pacific,83
2011-12,2012-03-18,Pacific,83
2011-12,2012-03-19,Pacific,83
2011-12,2012-03-20,Pacific,83
2011-12,2012-03-21,Pacific,85
2011-12,2012-03-22,Pacific,85
2011-12,2012-03-23,Pacific,86
2011-12,2012-03-24,Pacific,87
