season,date,team,points,division,conference
2013-14,2013-10-03,Anaheim Ducks,0,Pacific,Western
2013-14,2013-10-06,Anaheim Ducks,2,Pacific,Western
2013-14,2013-10-07,Anaheim Ducks,2,Pacific,Western
2013-14,2013-10-11,Anaheim Ducks,2,Pacific,Western
2013-14,2013-10-14,Anaheim Ducks,2,Pacific,Western
2013-14,2013-10-17,Anaheim Ducks,2,Pacific,Western
2013-14,2013-10-19,Anaheim Ducks,2,Pacific,Western
2013-14,2013-10-21,Anaheim Ducks,2,Pacific,Western
2013-14,2013-10-22,Anaheim Ducks,0,Pacific,Western
2013-14,2013-10-24,Anaheim Ducks,0,Pacific,Western
2013-14,2013-10-25,Anaheim Ducks,2,Pacific,Western
2013-14,2013-10-27,Anaheim Ducks,2,Pacific,Western
2013-14,2013-10-29,Anaheim Ducks,2,Pacific,Western
2013-14,2013-10-31,Anaheim Ducks,1,Pacific,Western
2013-14,2013-11-02,Anaheim Ducks,2,Pacific,Western
2013-14,2013-11-05,Anaheim Ducks,2,Pacific,Western
2013-14,2013-11-07,Anaheim Ducks,2,Pacific,Western
2013-14,2013-11-09,Anaheim Ducks,2,Pacific,Western
2013-14,2013-11-11,Anaheim Ducks,2,Pacific,Western
2013-14,2013-11-13,Anaheim Ducks,0,Pacific,Western
2013-14,2013-11-15,Anaheim Ducks,0,Pacific,Western
2013-14,2013-11-16,Anaheim Ducks,1,Pacific,Western
2013-14,2013-11-19,Anaheim Ducks,0,Pacific,Western
2013-14,2013-11-21,Anaheim Ducks,1,Pacific,Western
2013-14,2013-11-23,Anaheim Ducks,2,Pacific,Western
2013-14,2013-11-24,Anaheim Ducks,2,Pacific,Western
2013-14,2013-11-27,Anaheim Ducks,0,Pacific,Western
2013-14,2013-11-29,Anaheim Ducks,2,Pacific,Western
2013-14,2013-12-01,Anaheim Ducks,1,Pacific,Western
2013-14,2013-12-04,Anaheim Ducks,1,Pacific,Western
2013-14,2013-12-07,Anaheim Ducks,2,Pacific,Western
2013-14,2013-12-08,Anaheim Ducks,2,Pacific,Western
2013-14,2013-12-10,Anaheim Ducks,2,Pacific,Western
2013-14,2013-12-12,Anaheim Ducks,2,Pacific,Western
2013-14,2013-12-16,Anaheim Ducks,2,Pacific,Western
2013-14,2013-12-18,Anaheim Ducks,2,Pacific,Western
2013-14,2013-12-21,Anaheim Ducks,2,Pacific,Western
2013-14,2013-12-22,Anaheim Ducks,2,Pacific,Western
2013-14,2013-12-24,Anaheim Ducks,2,Pacific,Western
2013-14,2013-12-29,Anaheim Ducks,2,Pacific,Western
2013-14,2013-12-30,Anaheim Ducks,0,Pacific,Western
2013-14,2014-01-01,Anaheim Ducks,2,Pacific,Western
2013-14,2014-01-04,Anaheim Ducks,2,Pacific,Western
2013-14,2014-01-06,Anaheim Ducks,2,Pacific,Western
2013-14,2014-01-08,Anaheim Ducks,2,Pacific,Western
2013-14,2014-01-10,Anaheim Ducks,2,Pacific,Western
2013-14,2014-01-12,Anaheim Ducks,2,Pacific,Western
2013-14,2014-01-13,Anaheim Ducks,2,Pacific,Western
2013-14,2014-01-16,Anaheim Ducks,2,Pacific,Western
2013-14,2014-01-18,Anaheim Ducks,0,Pacific,Western
2013-14,2014-01-19,Anaheim Ducks,2,Pacific,Western
2013-14,2014-01-22,Anaheim Ducks,0,Pacific,Western
2013-14,2014-01-24,Anaheim Ducks,2,Pacific,Western
2013-14,2014-01-26,Anaheim Ducks,2,Pacific,Western
2013-14,2014-01-29,Anaheim Ducks,0,Pacific,Western
2013-14,2014-01-31,Anaheim Ducks,2,Pacific,Western
2013-14,2014-02-02,Anaheim Ducks,0,Pacific,Western
